#YY,MM,DD,WDIR,WSPD,GST,ATMP
2014,5,15,227.29166666666666,5.429166666666667,4.8968750000000005,6.276041666666669
2014,5,16,50.31578947368421,5.39684210526316,6.607368421052638,3.958947368421055
2014,5,17,206.875,4.522916666666668,5.263541666666668,8.025000000000004
2014,5,18,213.22916666666666,6.531250000000004,7.213541666666675,13.991666666666669
2014,5,19,169.16666666666666,7.062499999999993,6.50208333333332,14.57604166666666
2014,5,20,171.45833333333334,5.315625000000003,4.877083333333335,19.259374999999995
2014,5,21,184.79166666666666,4.3760416666666755,4.52083333333334,16.602083333333333
2014,5,22,238.02083333333334,4.3760416666666755,4.9989583333333405,23.68124999999999
2014,5,23,104.09836065573771,2.773770491803276,3.2622950819672103,10.332786885245902
2014,5,24,197.1875,2.6124999999999967,3.063541666666667,10.811458333333334
2014,5,25,76.14583333333333,2.538541666666665,2.9145833333333315,24.26562499999999
2014,5,26,162.5,5.660416666666666,6.436458333333327,20.64270833333333
2014,5,27,215.625,5.26875,5.925000000000001,21.49166666666667
2014,5,28,283.8541666666667,5.618749999999995,6.512499999999996,11.709375
2014,5,29,342.7368421052632,5.7305263157894775,6.49368421052632,10.792631578947365
2014,5,30,324.8958333333333,3.7875000000000028,4.3885416666666694,11.832291666666665
2014,5,31,209.57894736842104,3.5705263157894707,4.003157894736839,14.428421052631574
2014,6,1,152.1875,4.940624999999997,5.7479166666666615,19.962499999999995
2014,6,2,202.60416666666666,3.736458333333335,3.7874999999999983,23.08229166666666
2014,6,3,211.66666666666666,6.101041666666671,4.989583333333337,21.589583333333334
2014,6,4,100.0,5.552083333333331,5.826041666666669,15.66041666666667
2014,6,5,204.6875,4.070833333333339,4.666666666666674,12.97395833333333
2014,6,6,104.16666666666667,2.1229166666666646,2.5291666666666637,15.164583333333333
2014,6,7,125.83333333333333,4.317708333333328,4.836458333333328,18.995833333333334
2014,6,8,267.1875,4.18958333333333,5.165624999999995,13.384374999999997
2014,6,9,319.2708333333333,5.335416666666671,5.567708333333336,11.963541666666666
2014,6,10,316.4583333333333,5.689583333333327,5.949999999999991,12.113541666666668
2014,6,11,157.87234042553192,3.8085106382978755,4.319148936170216,13.129787234042555
2014,6,12,181.875,4.360416666666665,3.778124999999999,16.15625
2014,6,13,217.8125,6.132291666666673,6.217708333333342,16.187500000000004
2014,6,14,158.85416666666666,6.192708333333335,6.721874999999996,17.19791666666666
2014,6,15,158.22916666666666,6.374999999999994,6.438541666666665,20.003125
2014,6,16,187.39583333333334,5.830208333333338,5.682291666666669,23.658333333333342
2014,6,17,179.0625,5.415625000000002,5.106250000000002,23.950000000000014
2014,6,18,201.05263157894737,5.278947368421059,4.80631578947369,21.327368421052636
2014,6,19,237.68421052631578,4.704210526315794,5.170526315789478,14.660000000000005
2014,6,20,177.08333333333334,4.4916666666666645,5.239583333333333,19.809375
2014,6,21,221.14583333333334,4.396875000000002,4.976041666666672,15.981250000000001
2014,6,22,121.39784946236558,2.860215053763439,3.4688172043010765,16.42365591397849
2014,6,23,153.85416666666666,3.0666666666666647,3.725,17.660416666666666
2014,6,24,148.10526315789474,3.2936842105263158,3.82,19.986315789473686
2014,6,25,233.22916666666666,4.687499999999998,5.3999999999999995,16.09166666666666
2014,6,26,185.10416666666666,4.294791666666674,4.497916666666673,13.98645833333333
2014,6,27,97.78947368421052,3.301052631578945,3.9915789473684193,16.92105263157895
2014,6,28,154.89583333333334,7.049999999999994,6.9218749999999885,22.81770833333333
2014,6,29,198.125,6.6041666666666705,5.005208333333334,23.851041666666674
2014,6,30,194.55555555555554,4.400000000000002,4.046666666666669,24.441111111111113
2014,7,1,209.02173913043478,5.984782608695648,4.423913043478258,21.535869565217393
2014,7,2,245.72916666666666,7.119791666666669,6.831250000000005,18.764583333333338
2014,7,3,143.0952380952381,3.5952380952380927,4.154761904761902,15.542857142857144
2014,7,4,173.85416666666666,4.039583333333339,4.564583333333341,18.086458333333333
2014,7,5,163.64583333333334,5.569791666666663,4.663541666666666,20.158333333333335
2014,7,6,199.89583333333334,6.176041666666662,6.1010416666666645,21.917708333333337
2014,7,7,182.3404255319149,3.938297872340431,4.587234042553202,23.734042553191475
2014,7,8,239.375,5.676041666666666,4.508333333333335,23.794791666666665
