#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2010,1,6,11,0,280,5.7,6.7,99,99,99,999,9999,-9.1,999,999,99,99
2010,1,6,12,0,280,5.1,6.2,99,99,99,999,9999,-9,999,999,99,99
2010,1,6,13,0,270,6.2,7.2,99,99,99,999,9999,-8.8,999,999,99,99
2010,1,6,14,0,270,6.7,8.2,99,99,99,999,9999,-8.7,999,999,99,99
2010,1,6,15,0,270,6.2,7.7,99,99,99,999,9999,-7.7,999,999,99,99
2010,1,6,16,0,280,5.1,6.7,99,99,99,999,9999,-6.5,999,999,99,99
2010,1,6,17,0,290,4.6,6.2,99,99,99,999,9999,-6.4,999,999,99,99
2010,1,6,18,0,250,3.6,4.6,99,99,99,999,9999,-6.3,999,999,99,99
2010,1,6,19,0,260,4.1,5.7,99,99,99,999,9999,-6,999,999,99,99
2010,1,6,20,0,260,3.1,4.1,99,99,99,999,9999,-5.8,999,999,99,99
2010,1,6,21,0,270,4.6,5.1,99,99,99,999,9999,-6.2,999,999,99,99
2010,1,6,22,0,300,3.1,5.1,99,99,99,999,9999,-6.3,999,999,99,99
2010,1,6,23,0,290,2.6,4.1,99,99,99,999,9999,-6.5,999,999,99,99
2010,1,7,0,0,310,2.6,3.6,99,99,99,999,9999,-6.4,999,999,99,99
2010,1,7,1,0,280,2.1,3.1,99,99,99,999,9999,-6.3,999,999,99,99
2010,1,7,2,0,260,3.1,4.1,99,99,99,999,9999,-6.3,999,999,99,99
2010,1,7,3,0,190,3.1,3.6,99,99,99,999,9999,-6.4,999,999,99,99
2010,1,7,4,0,200,4.6,5.1,99,99,99,999,9999,-6.4,999,999,99,99
2010,1,7,5,0,190,4.1,5.1,99,99,99,999,9999,-6.7,999,999,99,99
2010,1,7,6,0,200,6.2,7.2,99,99,99,999,9999,-7.1,999,999,99,99
2010,1,7,7,0,200,6.2,7.7,99,99,99,999,9999,-7.3,999,999,99,99
2010,1,7,8,0,200,6.2,7.7,99,99,99,999,9999,-7.6,999,999,99,99
2010,1,7,9,0,190,4.6,5.7,99,99,99,999,9999,-7.7,999,999,99,99
2010,1,7,10,0,190,3.1,4.1,99,99,99,999,9999,-7.8,999,999,99,99
2010,1,7,11,0,180,3.6,4.1,99,99,99,999,9999,-7.6,999,999,99,99
2010,1,7,12,0,190,5.7,6.7,99,99,99,999,9999,-7.5,999,999,99,99
2010,1,7,13,0,190,4.6,5.7,99,99,99,999,9999,-7.4,999,999,99,99
2010,1,7,14,0,190,4.1,5.7,99,99,99,999,9999,-7.7,999,999,99,99
2010,1,7,15,0,170,3.6,4.6,99,99,99,999,9999,-7.5,999,999,99,99
2010,1,7,16,0,160,3.6,5.1,99,99,99,999,9999,-6.8,999,999,99,99
2010,1,7,17,0,170,3.1,4.1,99,99,99,999,9999,-6.2,999,999,99,99
2010,1,7,18,0,220,1.5,2.1,99,99,99,999,9999,-5.8,999,999,99,99
2010,1,7,19,0,300,2.6,3.6,99,99,99,999,9999,-5.6,999,999,99,99
2010,1,7,20,0,320,5.1,6.2,99,99,99,999,9999,-6.3,999,999,99,99
2010,1,7,21,0,290,6.2,7.2,99,99,99,999,9999,-6.4,999,999,99,99
2010,1,7,22,0,290,6.2,6.7,99,99,99,999,9999,-6.4,999,999,99,99
2010,1,7,23,0,280,6.7,8.2,99,99,99,999,9999,-6.3,999,999,99,99
2010,1,8,0,0,270,8.2,9.8,99,99,99,999,9999,-6.4,999,999,99,99
2010,1,8,1,0,270,8.2,9.3,99,99,99,999,9999,-7,999,999,99,99
2010,1,8,2,0,280,8.2,10.3,99,99,99,999,9999,-6.7,999,999,99,99
2010,1,8,3,0,280,7.7,9.3,99,99,99,999,9999,-6.6,999,999,99,99
2010,1,8,4,0,280,7.2,8.2,99,99,99,999,9999,-6.3,999,999,99,99
2010,1,8,5,0,280,6.2,7.2,99,99,99,999,9999,-5.9,999,999,99,99
2010,1,8,6,0,280,5.7,6.7,99,99,99,999,9999,-5.3,999,999,99,99
2010,1,8,7,0,270,5.7,6.7,99,99,99,999,9999,-4.8,999,999,99,99
2010,1,8,8,0,10,9.3,14.4,99,99,99,999,9999,-2.3,999,999,99,99
2010,1,8,9,0,20,13.4,16,99,99,99,999,9999,-1.5,999,999,99,99
2010,1,8,10,0,20,12.4,14.9,99,99,99,999,9999,-1.1,999,999,99,99
2010,1,8,11,0,330,16,18.5,99,99,99,999,9999,-4,999,999,99,99
2010,1,8,12,0,330,16.5,20.1,99,99,99,999,9999,-3.4,999,999,99,99
2010,1,8,13,0,330,17.5,20.1,99,99,99,999,9999,-3.7,999,999,99,99
2010,1,8,14,0,330,14.9,19,99,99,99,999,9999,-4.2,999,999,99,99
2010,1,8,15,0,330,13.9,16.5,99,99,99,999,9999,-4.8,999,999,99,99
2010,1,8,16,0,330,13.4,16,99,99,99,999,9999,-5.3,999,999,99,99
2010,1,8,17,0,330,11.3,13.9,99,99,99,999,9999,-5.3,999,999,99,99
2010,1,8,18,0,330,11.3,12.9,99,99,99,999,9999,-5.3,999,999,99,99
2010,1,8,19,0,330,11.3,13.4,99,99,99,999,9999,-5.5,999,999,99,99
2010,1,8,20,0,330,10.8,12.4,99,99,99,999,9999,-5.6,999,999,99,99
2010,1,8,21,0,330,10.3,11.8,99,99,99,999,9999,-5.4,999,999,99,99
2010,1,8,22,0,320,10.3,12.4,99,99,99,999,9999,-5.6,999,999,99,99
2010,1,8,23,0,320,9.8,11.8,99,99,99,999,9999,-5.9,999,999,99,99
2010,1,9,0,0,320,10.3,12.4,99,99,99,999,9999,-6.3,999,999,99,99
2010,1,9,1,0,320,8.8,10.8,99,99,99,999,9999,-6.5,999,999,99,99
2010,1,9,2,0,330,9.8,11.8,99,99,99,999,9999,-6.6,999,999,99,99
2010,1,9,3,0,320,9.3,11.3,99,99,99,999,9999,-6.3,999,999,99,99
2010,1,9,4,0,310,8.2,9.8,99,99,99,999,9999,-6.8,999,999,99,99
2010,1,9,5,0,310,8.8,10.8,99,99,99,999,9999,-7.7,999,999,99,99
2010,1,9,6,0,310,8.2,9.8,99,99,99,999,9999,-8.1,999,999,99,99
2010,1,9,7,0,300,7.7,8.8,99,99,99,999,9999,-8.6,999,999,99,99
2010,1,9,8,0,310,7.2,8.2,99,99,99,999,9999,-9,999,999,99,99
2010,1,9,9,0,300,7.2,9.8,99,99,99,999,9999,-8.8,999,999,99,99
2010,1,9,10,0,300,7.2,8.8,99,99,99,999,9999,-8.9,999,999,99,99
2010,1,9,11,0,290,7.2,8.8,99,99,99,999,9999,-9.3,999,999,99,99
2010,1,9,12,0,300,8.2,9.8,99,99,99,999,9999,-9.4,999,999,99,99
2010,1,9,13,0,290,7.2,8.2,99,99,99,999,9999,-9.7,999,999,99,99
2010,1,9,14,0,300,7.2,8.8,99,99,99,999,9999,-9.4,999,999,99,99
2010,1,9,15,15,310,7.7,8.8,99,99,99,999,9999,-9.3,999,999,99,99
2010,1,9,16,0,310,6.7,7.7,99,99,99,999,9999,-8.5,999,999,99,99
2010,1,9,17,0,300,6.7,8.2,99,99,99,999,9999,-7.4,999,999,99,99
2010,1,9,18,0,300,6.2,7.2,99,99,99,999,9999,-6.5,999,999,99,99
2010,1,9,19,0,300,6.2,7.2,99,99,99,999,9999,-6,999,999,99,99
2010,1,9,20,0,290,5.7,7.2,99,99,99,999,9999,-5.8,999,999,99,99
2010,1,9,21,0,300,6.2,7.7,99,99,99,999,9999,-5.1,999,999,99,99
2010,1,9,22,0,310,6.2,7.2,99,99,99,999,9999,-5.1,999,999,99,99
2010,1,9,23,0,290,5.7,6.7,99,99,99,999,9999,-5,999,999,99,99
2010,1,10,0,0,300,5.1,6.2,99,99,99,999,9999,-5.2,999,999,99,99
2010,1,10,1,0,300,6.7,7.7,99,99,99,999,9999,-6,999,999,99,99
2010,1,10,2,0,290,5.7,6.7,99,99,99,999,9999,-7.3,999,999,99,99
2010,1,10,3,0,300,6.7,7.7,99,99,99,999,9999,-8.6,999,999,99,99
2010,1,10,4,0,290,6.2,7.2,99,99,99,999,9999,-9.2,999,999,99,99
2010,1,10,5,0,300,5.7,6.7,99,99,99,999,9999,-9.5,999,999,99,99
2010,1,10,6,0,270,5.7,6.7,99,99,99,999,9999,-9.9,999,999,99,99
2010,1,10,7,0,270,5.7,6.7,99,99,99,999,9999,-10.7,999,999,99,99
2010,1,10,8,0,270,7.7,8.8,99,99,99,999,9999,-11.2,999,999,99,99
2010,1,10,9,0,270,5.7,7.2,99,99,99,999,9999,-11.6,999,999,99,99
2010,1,10,10,0,250,6.2,7.2,99,99,99,999,9999,-11.9,999,999,99,99
2010,1,10,11,0,260,7.7,8.8,99,99,99,999,9999,-12.5,999,999,99,99
