,#YY,MM,DD,hh,mm,WDIR,WSPD,GST,ATMP,DEWP
249,2017,1,2,17,30,130,4.1,4.1,2.5,1.5
250,2017,1,2,17,40,120,5.7,5.7,2.7,1.8
251,2017,1,2,17,50,120,5.7,5.7,2.7,2.0
252,2017,1,2,18,0,100,6.2,6.2,2.6,2.0
253,2017,1,2,18,10,110,6.7,6.7,2.7,2.1
254,2017,1,2,18,20,120,6.2,6.7,3.0,2.4
255,2017,1,2,18,30,110,4.6,5.1,3.1,2.4
256,2017,1,2,18,40,110,3.1,3.1,3.1,2.2
257,2017,1,2,18,50,110,2.6,2.6,3.1,2.2
258,2017,1,2,19,0,110,2.6,2.6,3.2,2.4
259,2017,1,2,19,10,110,2.6,3.1,3.3,2.4
260,2017,1,2,19,20,110,3.6,4.1,3.3,2.5
261,2017,1,2,19,30,100,4.6,4.6,3.5,2.7
262,2017,1,2,19,40,110,2.6,3.1,3.4,2.7
263,2017,1,2,19,50,80,0.0,0.5,3.5,2.8
264,2017,1,2,20,0,80,0.5,1.5,3.2,2.5
265,2017,1,2,20,10,350,1.5,1.5,2.9,2.3
266,2017,1,2,20,20,350,0.0,0.5,2.9,2.4
267,2017,1,2,20,30,80,8.2,8.8,3.2,2.8
268,2017,1,2,20,40,80,8.2,8.8,3.4,3.0
269,2017,1,2,20,50,90,6.7,7.2,3.5,3.1
270,2017,1,2,21,0,100,5.1,5.7,3.6,3.2
271,2017,1,2,21,10,110,4.6,4.6,3.7,3.3
272,2017,1,2,21,20,100,4.1,4.1,3.7,3.3
273,2017,1,2,21,30,110,3.6,3.6,3.7,3.4
274,2017,1,2,21,40,100,2.1,2.1,3.8,3.4
275,2017,1,2,21,50,320,0.0,0.5,2.7,2.3
276,2017,1,2,22,0,90,1.5,2.1,3.7,3.3
277,2017,1,2,22,10,90,4.6,4.6,3.9,3.6
278,2017,1,2,22,20,80,5.7,6.2,4.1,3.8
279,2017,1,2,22,30,80,6.2,6.2,4.1,3.9
280,2017,1,2,22,40,80,6.2,6.7,4.1,3.8
281,2017,1,2,22,50,70,6.7,6.7,4.2,4.0
282,2017,1,2,23,0,70,7.2,7.2,4.3,4.1
283,2017,1,2,23,10,80,5.7,5.7,4.2,4.0
284,2017,1,2,23,20,60,4.1,4.1,3.9,3.7
285,2017,1,2,23,30,50,3.6,3.6,3.9,3.7
286,2017,1,2,23,40,60,4.1,4.1,4.2,4.1
287,2017,1,2,23,50,80,5.1,5.7,4.4,4.3
288,2017,1,3,0,0,70,5.1,5.1,4.6,4.5
289,2017,1,3,0,10,60,5.1,5.1,4.6,4.5
290,2017,1,3,0,20,70,5.7,5.7,4.5,4.4
291,2017,1,3,0,30,60,6.2,6.2,4.6,4.5
292,2017,1,3,0,40,70,7.2,7.2,4.5,4.4
293,2017,1,3,0,50,80,7.7,7.7,4.4,4.2
294,2017,1,3,1,0,80,7.2,7.7,4.1,4.0
295,2017,1,3,1,10,90,7.2,7.7,4.1,3.9
296,2017,1,3,1,20,90,7.7,7.7,4.1,3.9
297,2017,1,3,1,30,90,7.2,7.7,4.1,3.9
298,2017,1,3,1,40,80,5.7,6.2,3.9,3.8
299,2017,1,3,1,50,90,6.7,6.7,4.0,3.9
300,2017,1,3,2,0,100,6.2,6.7,4.1,4.0
301,2017,1,3,2,10,100,5.1,5.7,3.9,3.8
302,2017,1,3,2,20,100,5.1,5.7,3.9,3.8
303,2017,1,3,2,30,100,4.1,4.1,3.9,3.8
304,2017,1,3,2,40,90,3.6,3.6,4.1,4.0
305,2017,1,3,2,50,90,3.6,3.6,4.1,4.0
306,2017,1,3,3,0,100,2.1,2.1,4.0,3.9
307,2017,1,3,3,10,90,1.0,1.5,3.8,3.7
308,2017,1,3,3,20,100,2.6,2.6,3.9,3.9
309,2017,1,3,3,30,110,2.1,2.1,3.9,3.8
310,2017,1,3,3,40,90,2.1,2.1,4.0,3.9
311,2017,1,3,3,50,110,2.6,2.6,4.1,4.0
312,2017,1,3,4,0,120,3.6,3.6,4.2,4.1
313,2017,1,3,4,10,110,3.6,3.6,4.2,4.1
314,2017,1,3,4,20,110,3.1,3.6,4.2,4.1
315,2017,1,3,4,30,130,3.1,3.1,4.0,3.9
316,2017,1,3,4,40,150,1.5,2.1,3.6,3.6
317,2017,1,3,4,50,130,1.5,2.1,3.7,3.6
318,2017,1,3,5,0,120,1.5,2.1,3.7,3.6
319,2017,1,3,5,10,130,1.5,2.1,3.8,3.7
320,2017,1,3,5,20,100,0.5,0.5,3.9,3.8
321,2017,1,3,5,30,100,1.0,1.0,3.9,3.9
322,2017,1,3,5,40,100,1.5,1.5,4.0,3.9
323,2017,1,3,5,50,70,2.1,2.1,4.1,4.0
324,2017,1,3,6,0,70,2.1,2.1,4.2,4.2
325,2017,1,3,6,10,60,1.5,2.1,4.2,4.1
326,2017,1,3,6,20,70,2.1,2.1,4.4,4.3
327,2017,1,3,6,30,50,1.5,1.5,4.2,4.1
328,2017,1,3,6,40,50,1.5,1.5,4.1,4.0
329,2017,1,3,6,50,30,1.0,1.0,3.9,3.8
330,2017,1,3,7,0,10,1.5,1.5,3.8,3.7
331,2017,1,3,7,10,360,2.6,3.1,3.4,3.3
332,2017,1,3,7,20,10,2.6,3.1,3.6,3.6
333,2017,1,3,7,30,50,2.6,2.6,4.2,4.1
334,2017,1,3,7,40,60,2.6,2.6,4.6,4.6
335,2017,1,3,7,50,90,3.1,3.1,4.7,4.6
336,2017,1,3,8,0,100,3.1,3.6,4.7,4.7
337,2017,1,3,8,10,100,2.1,2.1,4.7,4.7
338,2017,1,3,8,20,320,2.1,2.6,2.9,2.9
339,2017,1,3,8,30,30,1.0,1.0,3.9,3.9
340,2017,1,3,8,40,30,1.0,1.5,3.9,3.9
341,2017,1,3,8,50,60,2.1,2.1,4.4,4.4
342,2017,1,3,9,0,40,2.1,2.1,4.2,4.2
343,2017,1,3,9,10,10,1.5,1.5,3.6,3.6
344,2017,1,3,9,20,30,2.6,2.6,4.3,4.3
345,2017,1,3,9,30,30,3.6,3.6,4.4,4.4
346,2017,1,3,9,40,20,3.1,3.1,4.2,4.2
347,2017,1,3,9,50,360,3.1,3.6,3.9,3.9
348,2017,1,3,10,0,350,3.1,3.1,2.8,2.8
349,2017,1,3,10,10,10,3.6,3.6,3.6,3.6
350,2017,1,3,10,20,10,4.1,4.1,3.5,3.5
351,2017,1,3,10,30,20,4.1,4.1,3.9,3.9
352,2017,1,3,10,40,20,3.6,3.6,4.1,4.1
353,2017,1,3,10,50,10,3.1,3.1,3.9,3.9
354,2017,1,3,11,0,10,2.6,2.6,3.9,3.9
355,2017,1,3,11,10,30,1.5,2.1,3.9,3.9
356,2017,1,3,11,20,20,2.1,2.6,4.0,4.0
357,2017,1,3,11,30,350,1.5,1.5,3.8,3.8
358,2017,1,3,11,40,320,2.1,2.1,3.3,3.3
359,2017,1,3,11,50,360,2.6,2.6,4.1,4.0
360,2017,1,3,12,0,340,3.1,3.1,3.7,3.7
361,2017,1,3,12,10,340,3.1,3.1,3.8,3.8
362,2017,1,3,12,20,340,2.1,2.6,3.9,3.9
363,2017,1,3,12,30,340,2.6,3.1,3.9,3.9
364,2017,1,3,12,40,340,3.6,3.6,3.8,3.8
365,2017,1,3,12,50,350,4.1,4.1,3.8,3.8
366,2017,1,3,13,0,350,4.1,4.1,3.7,3.7
367,2017,1,3,13,10,350,4.1,4.6,3.7,3.7
368,2017,1,3,13,20,340,5.7,5.7,3.7,3.7
369,2017,1,3,13,30,340,5.7,5.7,3.3,3.3
370,2017,1,3,13,40,350,5.1,5.1,3.8,3.8
371,2017,1,3,13,50,330,5.1,5.1,3.3,3.3
372,2017,1,3,14,0,330,5.1,5.1,2.5,2.5
373,2017,1,3,14,10,340,6.2,6.2,3.1,3.1
374,2017,1,3,14,20,340,6.7,6.7,2.8,2.8
375,2017,1,3,14,30,350,5.1,5.1,2.8,2.8
376,2017,1,3,14,40,350,5.7,5.7,2.5,2.5
