YYYY,MM,DD,hh,mm,WD,WSP,D GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE
2006,6,4,8,0,330,3.1,3.6,99,99,99,999,9999,14.4,999,999,99,99
2006,6,4,9,0,340,4.1,4.6,99,99,99,999,9999,14.5,999,999,99,99
2006,6,4,10,0,350,4.6,5.1,99,99,99,999,9999,14.5,999,999,99,99
2006,6,4,11,0,340,5.1,5.1,99,99,99,999,9999,14.6,999,999,99,99
2006,6,4,12,0,360,5.1,5.1,99,99,99,999,9999,14.8,999,999,99,99
2006,6,4,13,0,10,4.6,5.1,99,99,99,999,9999,14.5,999,999,99,99
2006,6,4,14,0,20,3.6,4.1,99,99,99,999,9999,14.7,999,999,99,99
2006,6,4,15,0,340,2.6,3.1,99,99,99,999,9999,14.8,999,999,99,99
2006,6,4,16,0,350,3.6,4.1,99,99,99,999,9999,15.2,999,999,99,99
2006,6,4,17,0,340,3.6,4.1,99,99,99,999,9999,15.3,999,999,99,99
2006,6,4,18,0,350,4.1,4.1,99,99,99,999,9999,15.7,999,999,99,99
2006,6,4,19,0,360,3.6,4.1,99,99,99,999,9999,16.3,999,999,99,99
2006,6,4,20,0,360,3.6,4.1,99,99,99,999,9999,16.7,999,999,99,99
2006,6,4,21,0,350,3.6,4.1,99,99,99,999,9999,16.8,999,999,99,99
2006,6,4,22,0,10,5.1,6.2,99,99,99,999,9999,16.6,999,999,99,99
2006,6,4,23,0,350,3.6,4.1,99,99,99,999,9999,16.4,999,999,99,99
2006,6,5,0,0,350,3.6,4.1,99,99,99,999,9999,16.3,999,999,99,99
2006,6,5,1,0,360,3.6,4.1,99,99,99,999,9999,16.6,999,999,99,99
2006,6,5,2,0,350,2.6,3.1,99,99,99,999,9999,16,999,999,99,99
2006,6,15,18,0,110,7.2,7.7,99,99,99,999,9999,20.3,999,999,99,99
2006,6,15,19,0,110,7.7,8.2,99,99,99,999,9999,21.9,999,999,99,99
2006,6,15,20,0,100,8.8,9.8,99,99,99,999,9999,21,999,999,99,99
2006,6,15,21,0,110,9.8,10.3,99,99,99,999,9999,22.9,999,999,99,99
2006,6,15,22,0,110,9.3,10.3,99,99,99,999,9999,22.8,999,999,99,99
2006,6,15,23,0,100,9.3,9.8,99,99,99,999,9999,22,999,999,99,99
2006,6,16,0,0,110,9.3,10.3,99,99,99,999,9999,22.7,999,999,99,99
2006,6,16,2,0,130,5.7,6.7,99,99,99,999,9999,20.7,999,999,99,99
2006,6,16,3,0,130,8.8,9.8,99,99,99,999,9999,22.6,999,999,99,99
2006,6,16,4,0,130,9.3,9.8,99,99,99,999,9999,21.7,999,999,99,99
2006,6,27,13,0,310,3.6,4.6,99,99,99,999,9999,17.6,999,999,99,99
2006,6,27,18,0,120,3.6,4.1,99,99,99,999,9999,19.3,999,999,99,99
2006,6,27,19,0,120,3.6,4.6,99,99,99,999,9999,19.4,999,999,99,99
2006,6,27,20,0,150,5.7,6.7,99,99,99,999,9999,20.3,999,999,99,99
2006,6,28,12,0,270,3.6,4.6,99,99,99,999,9999,17.9,999,999,99,99
2006,6,28,13,0,140,2.1,3.6,99,99,99,999,9999,18.9,999,999,99,99
2006,6,28,14,0,210,8.8,12.4,99,99,99,999,9999,19,999,999,99,99
2006,6,28,16,0,240,3.1,3.6,99,99,99,999,9999,20.7,999,999,99,99
2006,6,28,18,0,280,5.7,7.2,99,99,99,999,9999,22,999,999,99,99
2006,6,28,20,0,300,7.2,8.2,99,99,99,999,9999,22.3,999,999,99,99
2006,6,28,21,0,280,8.2,9.8,99,99,99,999,9999,22.7,999,999,99,99
2006,6,28,23,0,290,7.7,8.8,99,99,99,999,9999,23,999,999,99,99
2006,6,29,0,0,310,6.7,7.7,99,99,99,999,9999,22.5,999,999,99,99
2006,6,29,13,0,320,3.1,3.6,99,99,99,999,9999,16.2,999,999,99,99
2006,6,29,14,0,340,3.6,3.6,99,99,99,999,9999,16.7,999,999,99,99
2006,6,29,15,0,330,2.6,3.1,99,99,99,999,9999,17.2,999,999,99,99
2006,6,29,16,0,330,1.5,1.5,99,99,99,999,9999,18.2,999,999,99,99
2006,6,29,17,0,10,1,1,99,99,99,999,9999,18.9,999,999,99,99
2006,6,29,18,0,40,1.5,2.1,99,99,99,999,9999,19.1,999,999,99,99
2006,6,29,19,0,80,3.6,4.1,99,99,99,999,9999,19.3,999,999,99,99
2006,6,29,20,0,80,4.6,5.1,99,99,99,999,9999,19.4,999,999,99,99
