#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2017,1,2,0,40,140,3.6,3.6,99,99,99,999,9999,3,999,-6,99,99
2017,1,2,0,50,140,3.1,3.6,99,99,99,999,9999,3,999,-5.7,99,99
2017,1,2,1,0,120,2.6,3.1,99,99,99,999,9999,2.9,999,-4,99,99
2017,1,2,1,10,100,3.1,3.1,99,99,99,999,9999,3,999,-3.3,99,99
2017,1,2,1,20,90,3.6,3.6,99,99,99,999,9999,3,999,-2.9,99,99
2017,1,2,1,30,80,5.1,5.7,99,99,99,999,9999,3.1,999,-3.2,99,99
2017,1,2,1,40,80,5.1,5.1,99,99,99,999,9999,3.3,999,-2.9,99,99
2017,1,2,1,50,80,5.7,5.7,99,99,99,999,9999,3.4,999,-2,99,99
2017,1,2,2,0,90,6.2,6.2,99,99,99,999,9999,3.3,999,-2,99,99
2017,1,2,2,10,100,5.7,5.7,99,99,99,999,9999,3.1,999,-1.1,99,99
2017,1,2,2,20,110,5.1,5.7,99,99,99,999,9999,3,999,-1.5,99,99
2017,1,2,2,30,110,5.1,5.1,99,99,99,999,9999,3.2,999,-2.1,99,99
2017,1,2,2,40,110,5.1,5.1,99,99,99,999,9999,3.3,999,-2.2,99,99
2017,1,2,2,50,100,5.7,5.7,99,99,99,999,9999,3.3,999,-2.2,99,99
2017,1,2,3,0,100,5.7,6.2,99,99,99,999,9999,3.3,999,-2,99,99
2017,1,2,3,10,100,6.7,7.2,99,99,99,999,9999,3.1,999,-2.1,99,99
2017,1,2,3,20,100,5.7,5.7,99,99,99,999,9999,3.2,999,-2.3,99,99
2017,1,2,3,30,90,5.7,5.7,99,99,99,999,9999,3.2,999,-2.1,99,99
2017,1,2,3,40,100,6.2,6.7,99,99,99,999,9999,3.2,999,-1.9,99,99
2017,1,2,3,50,100,6.2,6.2,99,99,99,999,9999,3.2,999,-1.5,99,99
2017,1,2,4,0,100,5.7,6.2,99,99,99,999,9999,3.2,999,-1.4,99,99
2017,1,2,4,10,100,6.2,6.2,99,99,99,999,9999,3.2,999,-1.4,99,99
2017,1,2,4,20,100,6.2,6.2,99,99,99,999,9999,3.2,999,-1.6,99,99
2017,1,2,4,30,100,6.2,6.7,99,99,99,999,9999,3.3,999,-1.6,99,99
2017,1,2,4,40,100,6.7,6.7,99,99,99,999,9999,3.2,999,-2,99,99
2017,1,2,4,50,100,5.7,5.7,99,99,99,999,9999,3.3,999,-1.7,99,99
2017,1,2,5,0,100,5.1,5.1,99,99,99,999,9999,3.3,999,-1.5,99,99
2017,1,2,5,10,100,5.1,5.1,99,99,99,999,9999,3.2,999,-1.8,99,99
2017,1,2,5,20,100,5.1,5.7,99,99,99,999,9999,3.2,999,-1.7,99,99
2017,1,2,5,30,100,5.1,5.1,99,99,99,999,9999,3.3,999,-1.7,99,99
2017,1,2,5,40,100,5.7,5.7,99,99,99,999,9999,3.2,999,-1.8,99,99
2017,1,2,5,50,90,5.7,5.7,99,99,99,999,9999,3.2,999,-1.8,99,99
2017,1,2,6,0,90,5.7,6.2,99,99,99,999,9999,3.1,999,-1.6,99,99
2017,1,2,6,10,90,6.7,6.7,99,99,99,999,9999,3.2,999,-1.7,99,99
2017,1,2,6,20,90,6.2,6.2,99,99,99,999,9999,3,999,-1.4,99,99
2017,1,2,6,30,100,5.7,5.7,99,99,99,999,9999,3,999,-1.1,99,99
2017,1,2,6,40,100,6.2,6.2,99,99,99,999,9999,3.1,999,-0.9,99,99
2017,1,2,6,50,100,6.7,6.7,99,99,99,999,9999,3.2,999,-1.1,99,99
2017,1,2,7,0,100,6.2,6.7,99,99,99,999,9999,3.1,999,-0.8,99,99
2017,1,2,7,10,100,6.2,6.7,99,99,99,999,9999,3.2,999,-1,99,99
2017,1,2,7,20,100,5.1,5.7,99,99,99,999,9999,3.1,999,-0.7,99,99
2017,1,2,7,30,110,5.1,5.1,99,99,99,999,9999,2.9,999,-0.6,99,99
2017,1,2,7,40,110,5.1,5.7,99,99,99,999,9999,2.9,999,-0.6,99,99
2017,1,2,7,50,100,5.7,5.7,99,99,99,999,9999,2.9,999,-0.7,99,99
2017,1,2,8,0,110,4.6,4.6,99,99,99,999,9999,2.8,999,-0.6,99,99
2017,1,2,8,10,100,4.1,4.6,99,99,99,999,9999,2.8,999,-0.3,99,99
2017,1,2,8,20,100,3.6,3.6,99,99,99,999,9999,2.7,999,-0.4,99,99
2017,1,2,8,30,100,3.6,3.6,99,99,99,999,9999,2.6,999,-0.4,99,99
2017,1,2,8,40,100,4.1,4.1,99,99,99,999,9999,2.9,999,-0.4,99,99
2017,1,2,8,50,100,5.1,5.1,99,99,99,999,9999,3,999,-0.4,99,99
2017,1,2,9,0,90,5.1,5.7,99,99,99,999,9999,3,999,-0.4,99,99
2017,1,2,9,10,100,5.1,5.7,99,99,99,999,9999,2.9,999,-0.3,99,99
2017,1,2,9,20,100,5.1,5.7,99,99,99,999,9999,2.7,999,-0.3,99,99
2017,1,2,9,30,100,5.7,6.2,99,99,99,999,9999,2.8,999,-0.3,99,99
2017,1,2,9,40,100,5.7,6.2,99,99,99,999,9999,2.9,999,-0.2,99,99
2017,1,2,9,50,90,6.2,6.2,99,99,99,999,9999,3,999,-0.1,99,99
2017,1,2,10,0,90,7.2,7.7,99,99,99,999,9999,3,999,-0.3,99,99
2017,1,2,10,10,80,6.7,7.2,99,99,99,999,9999,2.9,999,0,99,99
2017,1,2,10,20,90,7.2,7.7,99,99,99,999,9999,3,999,-0.1,99,99
2017,1,2,10,30,90,7.2,7.7,99,99,99,999,9999,3.1,999,-0.3,99,99
2017,1,2,10,40,90,6.7,6.7,99,99,99,999,9999,3.1,999,0,99,99
2017,1,2,10,50,90,7.7,8.2,99,99,99,999,9999,3.1,999,-0.1,99,99
2017,1,2,11,0,90,7.2,7.7,99,99,99,999,9999,3,999,0,99,99
2017,1,2,11,10,90,7.7,7.7,99,99,99,999,9999,3.1,999,0.1,99,99
2017,1,2,11,20,80,6.7,7.2,99,99,99,999,9999,3,999,0.4,99,99
2017,1,2,11,30,90,7.2,7.7,99,99,99,999,9999,3,999,0.4,99,99
2017,1,2,11,40,90,6.7,7.2,99,99,99,999,9999,3.1,999,0.6,99,99
2017,1,2,11,50,90,6.7,7.2,99,99,99,999,9999,3.1,999,0.7,99,99
