#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,deg,T m/s,m/s,m,sec,sec,deg,hPa,degC,degC,degC,nmi,ft
2008,1,8,20,0,200,8.8,10.3,99,99,99,999,9999,12.2,999,999,99,99
2008,1,8,21,0,200,9.8,11.3,99,99,99,999,9999,12.8,999,999,99,99
2008,1,8,22,0,200,9.8,12.4,99,99,99,999,9999,12.9,999,999,99,99
2008,1,9,2,0,310,8.8,10.8,99,99,99,999,9999,3.8,999,999,99,99
2008,1,9,3,0,300,9.8,12.9,99,99,99,999,9999,3.1,999,999,99,99
2008,1,9,5,0,300,10.3,12.4,99,99,99,999,9999,3.3,999,999,99,99
2008,1,9,6,0,280,13.9,17.5,99,99,99,999,9999,3.1,999,999,99,99
2008,1,9,7,0,280,11.8,13.4,99,99,99,999,9999,3.3,999,999,99,99
2008,1,9,8,0,280,10.3,13.9,99,99,99,999,9999,3.2,999,999,99,99
2008,1,9,9,0,280,10.8,14.4,99,99,99,999,9999,2.9,999,999,99,99
2008,1,9,10,0,260,11.3,15.4,99,99,99,999,9999,1.7,999,999,99,99
2008,1,9,11,0,270,7.7,9.3,99,99,99,999,9999,0.9,999,999,99,99
2008,1,9,12,0,260,9.3,11.3,99,99,99,999,9999,0.5,999,999,99,99
2008,1,9,13,0,250,7.2,9.3,99,99,99,999,9999,0.4,999,999,99,99
2008,1,9,14,0,240,6.2,8.2,99,99,99,999,9999,0.2,999,999,99,99
2008,1,9,15,0,240,5.1,7.2,99,99,99,999,9999,-0.1,999,999,99,99
2008,1,9,16,0,260,7.2,8.2,99,99,99,999,9999,0.3,999,999,99,99
2008,1,9,17,0,240,5.1,6.7,99,99,99,999,9999,1.3,999,999,99,99
2008,1,9,18,0,230,4.6,5.1,99,99,99,999,9999,2.2,999,999,99,99
2008,1,9,19,0,250,4.1,4.6,99,99,99,999,9999,2.5,999,999,99,99
2008,1,9,20,0,200,3.6,4.1,99,99,99,999,9999,3,999,999,99,99
2008,1,9,22,0,180,4.6,5.1,99,99,99,999,9999,3.5,999,999,99,99
2008,1,9,23,0,180,4.6,5.1,99,99,99,999,9999,3.6,999,999,99,99
2008,1,10,1,0,200,5.7,6.2,99,99,99,999,9999,3.4,999,999,99,99
2008,1,10,2,0,180,4.6,5.1,99,99,99,999,9999,3.1,999,999,99,99
2008,1,10,3,0,160,1,2.6,99,99,99,999,9999,2.9,999,999,99,99
2008,1,10,7,0,130,6.2,6.7,99,99,99,999,9999,2.1,999,999,99,99
2008,1,10,8,0,130,5.1,5.1,99,99,99,999,9999,2,999,999,99,99
2008,1,10,9,0,130,5.1,5.1,99,99,99,999,9999,2.1,999,999,99,99
2008,1,10,10,0,110,4.6,5.1,99,99,99,999,9999,1.9,999,999,99,99
2008,1,10,11,0,100,7.2,7.7,99,99,99,999,9999,2,999,999,99,99
2008,1,10,12,0,110,7.2,8.2,99,99,99,999,9999,2.3,999,999,99,99
2008,1,10,13,0,110,6.7,7.7,99,99,99,999,9999,2.2,999,999,99,99
2008,1,10,14,0,110,7.2,8.2,99,99,99,999,9999,2.1,999,999,99,99
2008,1,10,15,0,90,4.6,5.7,99,99,99,999,9999,2.1,999,999,99,99
2008,1,10,16,0,90,7.2,8.2,99,99,99,999,9999,2.5,999,999,99,99
2008,1,10,17,0,110,6.7,7.7,99,99,99,999,9999,2.7,999,999,99,99
2008,1,10,18,0,100,6.7,7.7,99,99,99,999,9999,3.4,999,999,99,99
2008,1,10,19,0,100,6.2,6.7,99,99,99,999,9999,3.4,999,999,99,99
2008,1,10,20,0,90,9.8,10.8,99,99,99,999,9999,3.7,999,999,99,99
2008,1,10,22,0,70,4.1,4.6,99,99,99,999,9999,3.5,999,999,99,99
2008,1,11,0,0,80,5.1,6.2,99,99,99,999,9999,3.3,999,999,99,99
2008,1,11,1,0,60,4.1,5.7,99,99,99,999,9999,2.8,999,999,99,99
2008,1,11,2,0,70,8.8,10.3,99,99,99,999,9999,2.4,999,999,99,99
2008,1,11,3,0,70,7.2,8.2,99,99,99,999,9999,1.9,999,999,99,99
2008,1,11,4,0,50,4.1,4.1,99,99,99,999,9999,1.7,999,999,99,99
2008,1,11,5,0,280,1.5,2.1,99,99,99,999,9999,1.6,999,999,99,99
2008,1,11,6,0,280,2.1,2.6,99,99,99,999,9999,1.7,999,999,99,99
2008,1,11,7,0,270,6.7,7.7,99,99,99,999,9999,2,999,999,99,99
2008,1,11,8,0,280,8.2,10.3,99,99,99,999,9999,1.2,999,999,99,99
2008,1,11,9,0,280,8.8,10.8,99,99,99,999,9999,1.4,999,999,99,99
2008,1,11,10,0,280,8.8,11.3,99,99,99,999,9999,1.5,999,999,99,99
2008,1,11,11,0,270,8.2,10.3,99,99,99,999,9999,1.7,999,999,99,99
2008,1,11,14,0,280,8.8,10.8,99,99,99,999,9999,1.6,999,999,99,99
2008,1,11,15,0,270,9.3,10.8,99,99,99,999,9999,1.6,999,999,99,99
2008,1,11,16,0,260,9.3,10.8,99,99,99,999,9999,1.8,999,999,99,99
2008,1,11,17,0,260,9.8,11.3,99,99,99,999,9999,1.8,999,999,99,99
2008,1,11,18,0,250,9.8,12.9,99,99,99,999,9999,1.9,999,999,99,99
2008,1,11,19,0,270,8.8,9.8,99,99,99,999,9999,2.2,999,999,99,99
2008,1,11,20,0,270,7.2,9.3,99,99,99,999,9999,2.1,999,999,99,99
2008,1,11,22,0,250,8.8,11.3,99,99,99,999,9999,1.8,999,999,99,99
2008,1,12,0,0,240,7.2,9.3,99,99,99,999,9999,1.4,999,999,99,99
2008,1,12,1,0,250,6.7,7.7,99,99,99,999,9999,1.1,999,999,99,99
2008,1,12,2,0,260,7.2,9.8,99,99,99,999,9999,0.9,999,999,99,99
2008,1,12,3,0,250,6.2,8.8,99,99,99,999,9999,0.7,999,999,99,99
2008,1,12,4,0,240,5.7,7.2,99,99,99,999,9999,0.4,999,999,99,99
2008,1,12,5,0,250,4.6,5.7,99,99,99,999,9999,0,999,999,99,99
2008,1,12,7,0,210,6.2,8.2,99,99,99,999,9999,-0.4,999,999,99,99
2008,1,12,8,0,260,4.6,5.7,99,99,99,999,9999,-0.6,999,999,99,99
2008,1,12,9,0,240,4.6,6.7,99,99,99,999,9999,-0.7,999,999,99,99
2008,1,12,10,0,200,5.1,7.2,99,99,99,999,9999,-0.7,999,999,99,99
2008,1,12,11,0,190,4.6,6.2,99,99,99,999,9999,-0.9,999,999,99,99
2008,1,12,13,0,170,5.1,6.2,99,99,99,999,9999,-0.8,999,999,99,99
2008,1,12,14,0,170,6.2,6.7,99,99,99,999,9999,-0.4,999,999,99,99
2008,1,12,15,0,180,7.2,8.2,99,99,99,999,9999,-0.2,999,999,99,99
2008,1,12,16,0,180,7.7,9.3,99,99,99,999,9999,0,999,999,99,99
2008,1,12,17,0,170,6.7,7.7,99,99,99,999,9999,0.5,999,999,99,99
2008,1,12,18,0,160,6.7,7.7,99,99,99,999,9999,1.3,999,999,99,99
2008,1,12,19,0,140,7.2,8.2,99,99,99,999,9999,1.3,999,999,99,99
2008,1,12,20,0,120,8.2,9.3,99,99,99,999,9999,1.3,999,999,99,99
2008,1,12,21,0,140,8.2,9.8,99,99,99,999,9999,1.6,999,999,99,99
2008,1,12,22,0,130,8.2,9.3,99,99,99,999,9999,2.1,999,999,99,99
2008,1,13,0,0,140,7.7,9.3,99,99,99,999,9999,2.5,999,999,99,99
2008,1,13,1,0,140,8.2,9.3,99,99,99,999,9999,2.4,999,999,99,99
2008,1,13,2,0,140,5.7,6.2,99,99,99,999,9999,2.1,999,999,99,99
2008,1,13,3,0,150,4.1,5.7,99,99,99,999,9999,1.9,999,999,99,99
2008,1,13,4,0,150,4.1,5.1,99,99,99,999,9999,2,999,999,99,99
2008,1,13,5,0,170,6.7,7.7,99,99,99,999,9999,2.5,999,999,99,99
2008,1,13,6,0,170,7.2,8.2,99,99,99,999,9999,2.6,999,999,99,99
2008,1,13,9,0,200,5.1,6.2,99,99,99,999,9999,2.3,999,999,99,99
2008,1,13,10,0,240,3.6,4.6,99,99,99,999,9999,2.4,999,999,99,99
2008,1,13,11,0,240,5.7,6.7,99,99,99,999,9999,1.2,999,999,99,99
2008,1,13,13,0,260,7.2,8.2,99,99,99,999,9999,0.1,999,999,99,99
2008,1,13,15,0,240,7.7,9.3,99,99,99,999,9999,0.2,999,999,99,99
2008,1,13,16,0,260,8.2,9.8,99,99,99,999,9999,0.2,999,999,99,99
2008,1,13,17,0,250,8.2,9.3,99,99,99,999,9999,-0.2,999,999,99,99
2008,1,13,18,0,260,6.7,8.2,99,99,99,999,9999,-0.1,999,999,99,99
2008,1,13,19,0,260,7.2,8.2,99,99,99,999,9999,-0.2,999,999,99,99
2008,1,13,20,0,260,9.8,11.8,99,99,99,999,9999,-0.3,999,999,99,99
2008,1,13,22,0,260,9.3,11.3,99,99,99,999,9999,-0.5,999,999,99,99
2008,1,13,23,0,270,8.8,11.3,99,99,99,999,9999,-0.7,999,999,99,99
2008,1,14,0,0,270,9.8,11.3,99,99,99,999,9999,-0.8,999,999,99,99
2008,1,14,1,0,260,11.8,13.9,99,99,99,999,9999,-0.8,999,999,99,99
2008,1,14,2,0,280,11.3,13.4,99,99,99,999,9999,-0.9,999,999,99,99
2008,1,14,3,0,290,9.8,12.4,99,99,99,999,9999,-1.8,999,999,99,99
2008,1,14,4,0,270,10.8,12.9,99,99,99,999,9999,-1.9,999,999,99,99
2008,1,14,5,0,270,10.3,12.4,99,99,99,999,9999,-1.9,999,999,99,99
2008,1,14,6,0,270,10.8,12.4,99,99,99,999,9999,-2.5,999,999,99,99
2008,1,14,7,0,270,10.3,12.4,99,99,99,999,9999,-2.8,999,999,99,99
2008,1,14,8,0,270,9.8,11.3,99,99,99,999,9999,-3,999,999,99,99
2008,1,14,9,0,270,9.3,11.8,99,99,99,999,9999,-3.1,999,999,99,99
2008,1,14,10,0,280,11.3,13.4,99,99,99,999,9999,-3.3,999,999,99,99
2008,1,14,11,0,280,9.8,12.4,99,99,99,999,9999,-3.5,999,999,99,99
2008,1,14,12,0,270,9.8,11.3,99,99,99,999,9999,-3.8,999,999,99,99
2008,1,14,13,0,270,9.3,10.8,99,99,99,999,9999,-4,999,999,99,99
2008,1,14,14,0,270,8.8,10.8,99,99,99,999,9999,-4.3,999,999,99,99
2008,1,14,15,0,280,9.3,11.3,99,99,99,999,9999,-4.2,999,999,99,99
2008,1,14,16,0,270,10.3,12.4,99,99,99,999,9999,-4.7,999,999,99,99
2008,1,14,17,0,260,10.3,12.4,99,99,99,999,9999,-5.1,999,999,99,99
2008,1,14,19,0,280,10.3,13.4,99,99,99,999,9999,-5.5,999,999,99,99
2008,1,14,20,0,260,10.3,12.9,99,99,99,999,9999,-4.8,999,999,99,99
2008,1,14,21,0,270,9.3,10.8,99,99,99,999,9999,-4.4,999,999,99,99
2008,1,14,22,0,270,9.3,10.8,99,99,99,999,9999,-4.4,999,999,99,99
2008,1,14,23,0,280,7.2,9.3,99,99,99,999,9999,-4.6,999,999,99,99
2008,1,15,0,0,270,7.2,9.3,99,99,99,999,9999,-4.8,999,999,99,99
2008,1,15,1,0,280,8.8,10.8,99,99,99,999,9999,-5.1,999,999,99,99
2008,1,15,2,0,290,10.3,12.9,99,99,99,999,9999,-5.8,999,999,99,99
2008,1,15,4,0,290,9.8,11.8,99,99,99,999,9999,-5.9,999,999,99,99
2008,1,15,5,0,280,9.8,12.4,99,99,99,999,9999,-6.8,999,999,99,99
2008,1,15,6,0,280,9.8,11.8,99,99,99,999,9999,-7.7,999,999,99,99
2008,1,15,7,0,280,10.3,12.4,99,99,99,999,9999,-8.2,999,999,99,99
2008,1,15,8,0,280,8.2,10.3,99,99,99,999,9999,-8.5,999,999,99,99
2008,1,15,9,0,270,9.3,11.3,99,99,99,999,9999,-9,999,999,99,99
2008,1,15,10,0,270,10.3,11.8,99,99,99,999,9999,-9.4,999,999,99,99
2008,1,15,12,0,280,8.2,9.8,99,99,99,999,9999,-9.3,999,999,99,99
2008,1,15,13,0,270,8.8,10.3,99,99,99,999,9999,-9.3,999,999,99,99
2008,1,15,14,0,270,8.2,9.8,99,99,99,999,9999,-9.1,999,999,99,99
2008,1,15,15,0,270,7.7,8.8,99,99,99,999,9999,-8.5,999,999,99,99
2008,1,15,16,0,260,7.7,8.8,99,99,99,999,9999,-7.7,999,999,99,99
2008,1,15,17,0,270,6.7,7.7,99,99,99,999,9999,-6.4,999,999,99,99
2008,1,15,18,0,260,5.7,6.7,99,99,99,999,9999,-5.5,999,999,99,99
2008,1,15,22,0,220,4.1,5.7,99,99,99,999,9999,-3.2,999,999,99,99
2008,1,16,2,0,200,6.2,6.7,99,99,99,999,9999,-3.9,999,999,99,99
2008,1,16,4,0,180,7.2,9.3,99,99,99,999,9999,-4.1,999,999,99,99
2008,1,16,5,0,170,7.2,9.3,99,99,99,999,9999,-4.2,999,999,99,99
2008,1,16,6,0,180,10.3,11.8,99,99,99,999,9999,-4.3,999,999,99,99
2008,1,16,8,0,180,9.8,11.8,99,99,99,999,9999,-4.5,999,999,99,99
2008,1,16,9,0,180,9.8,11.8,99,99,99,999,9999,-4.3,999,999,99,99
2008,1,16,10,0,190,8.2,9.8,99,99,99,999,9999,-4.3,999,999,99,99
2008,1,16,11,0,170,9.3,10.3,99,99,99,999,9999,-4.3,999,999,99,99
2008,1,16,12,0,170,9.8,11.8,99,99,99,999,9999,-3.7,999,999,99,99
2008,1,16,13,0,170,10.8,12.9,99,99,99,999,9999,-3.4,999,999,99,99
2008,1,16,14,0,170,10.3,11.8,99,99,99,999,9999,-3.4,999,999,99,99
2008,1,16,15,0,170,10.8,12.4,99,99,99,999,9999,-3,999,999,99,99
2008,1,16,16,0,180,11.3,13.9,99,99,99,999,9999,-1.8,999,999,99,99
2008,1,16,17,0,180,11.8,14.9,99,99,99,999,9999,-0.6,999,999,99,99
2008,1,16,18,0,170,11.3,12.9,99,99,99,999,9999,0.5,999,999,99,99
2008,1,16,19,0,180,12.9,15.4,99,99,99,999,9999,1.9,999,999,99,99
2008,1,16,20,0,180,12.4,14.4,99,99,99,999,9999,2.1,999,999,99,99
2008,1,16,22,0,180,9.8,10.3,99,99,99,999,9999,2.7,999,999,99,99
2008,1,16,23,0,190,9.3,9.8,99,99,99,999,9999,3,999,999,99,99
2008,1,17,0,0,180,7.2,9.3,99,99,99,999,9999,2.2,999,999,99,99
2008,1,17,2,0,180,8.2,9.8,99,99,99,999,9999,1.3,999,999,99,99
2008,1,17,3,0,170,8.2,9.3,99,99,99,999,9999,1,999,999,99,99
2008,1,17,4,0,170,9.3,10.3,99,99,99,999,9999,0.6,999,999,99,99
