"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-05","14.99"," 2305"," 2231","0.02","0.2","1.0",,"35","30","   40","   50","0.0","25.9","36.9","    1",,,,,,"    1","    1",,,"    1",,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-06","15.21"," 0001"," 0000","0.00","0.0","0.0",,"31","25","   30","   30","0.0","28.0","36.0",,,,,,,,,,,,,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-07","5.82"," 1458"," 1239","0.00","0.0","0.0",,"31","23","  110","   50","0.0","13.0","23.9","    1",,,,,,,,,,"    1",,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-08","8.72"," 2223"," 2008","0.00","0.0","0.0",,"30","20","  100","   90","0.0","17.9","29.1",,,,,,,,,,,,,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-09","10.74"," 1948"," 1947","0.65","12.6","1.0",,"28","23","   10","   10","0.0","21.0","25.9","    1","    1",,,,,,,"    1",,"    1",,,"    1",,"    1",,,"    1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-10","14.54"," 0834"," 0441","0.02","0.3","9.0",,"26","17","  330","  330","0.0","25.1","33.1","    1",,,,,,,"    1","    1",,"    1",,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-11","5.82"," 1620"," 1622","0.00","0.0","7.0",,"30","10","  350","   10","0.0","12.1","16.1",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-12","4.70"," 1528"," 1642","0.00","0.0","6.0",,"32","10","  360","   40","0.0","8.9","17.9",,,,,,,,"    1",,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-13","7.16"," 1335"," 1335","0.00","0.0","5.0",,"30","11","  310","  310","0.0","15.0","17.9",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-14","5.59"," 1412"," 1341","0.00","0.0","5.0",,"29","9","  290","  270","0.0","12.1","15.0","    1",,,,,,"    1","    1",,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-15","8.50"," 1228"," 2156","0.00","0.3","4.0",,"28","6","  310","  300","0.0","16.1","17.9","    1",,,,,,"    1","    1",,,"    1",,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-16","11.86"," 0815"," 0813","0.00","0.0","5.0",,"32","25","  320","  320","0.0","21.0","25.9","    1",,,,,,,,,,"    1",,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-17","10.29"," 1513"," 1513","0.00","0.0","4.0",,"32","26","  310","  310","0.0","16.1","19.9",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-18","7.16"," 1513"," 1417","0.00","0.0","3.0",,"39","25","  280","  300","0.0","15.0","19.9",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-19","4.70"," 1724"," 1724","0.00","0.0","2.0",,"42","19","   80","   60","0.0","8.9","17.9",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-20","5.14"," 0947"," 1713","0.01","0.2","2.0",,"39","30","  160","   50","0.0","8.9","17.0","    1",,,,,,"    1","    1",,,"    1",,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-21","7.61"," 1532"," 2258","0.36","2.0","2.0",,"36","33","   40","   30","0.0","13.0","17.0","    1",,,,"    1",,,"    1",,,"    1",,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-22","10.51"," 1209"," 0150","0.14","1.1","4.0",,"33","29","   20","   50","0.0","16.1","25.1","    1",,,,,,,,,,"    1",,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-23","6.49"," 2047"," 2112","0.00","0.0","3.0",,"33","22","  260","  250","0.0","14.1","17.9","    1",,,,,,,"    1",,,,,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-24","12.08"," 1638"," 1642","0.34","3.6","3.0",,"29","21","  330","  360","0.0","21.9","28.0","    1","    1",,,,,,,,,"    1",,,"    1",,"    1",,,"    1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-25","11.86"," 1519"," 0718","0.00","0.0","5.0",,"28","18","  310","  360","0.0","17.9","28.0",,,,,,,,"    1",,,,,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-26","13.20"," 1552"," 1551","0.00","0.0","5.0",,"31","17","  320","  320","0.0","21.9","25.9",,,,,,,,,,,,,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-27","11.41"," 1556"," 1555","0.00","0.1","4.0",,"34","28","  330","  320","0.0","17.9","23.9","    1",,,,,,,,,,"    1",,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-28","7.16"," 0831"," 1244","0.00","0.0","4.0",,"38","32","  350","   50","0.0","12.1","23.9","    1",,,,,,,"    1",,,"    1",,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-03-01","7.61"," 1719"," 1512","0.00","0.0","3.0",,"36","27","   50","   30","0.0","14.1","25.9",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-03-02","8.50"," 1501"," 1107","0.00","0.0","3.0",,"33","23","   20","   30","0.0","15.0","25.9",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-03-03","8.50"," 0243"," 1150","0.00","0.0","3.0",,"39","24","  340","   40","0.0","14.1","28.0",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-03-04","6.71"," 1612"," 1550","0.00","0.0","2.0",,"42","22","   50","   40","0.0","15.0","28.0",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-03-05","6.71"," 0956"," 1231","0.00","0.0","1.0",,"38","23","   50","   60","0.0","16.1","25.9",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-03-06","3.36"," 1300"," 1300","0.00","0.0","0.0",,"45","20","  210","  210","0.0","12.1","14.1",,,,,,,,"    1",,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-03-07","3.80"," 1253"," 1116","0.03","0.0","0.0",,"46","26","  200","  200","0.0","12.1","14.1","    1",,,,"    1",,,"    1",,,"    1",,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-03-08","2.24"," 2323"," 2323","0.00","0.0","0.0",,"44","33","   60","   60","0.0","8.1","19.9","    1","    1",,,,,"    1","    1","    1",,"    1",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-03-09","6.49"," 2333"," 1230","0.01","0.0","0.0",,"51","32","  120","   60","0.0","13.0","30.0","    1","    1",,,"    1",,"    1","    1",,,"    1",,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-03-10","8.05"," 1503"," 1503","0.07","0.0","0.0",,"62","46","  210","  190","0.0","17.0","21.9","    1",,,,"    1",,"    1","    1",,,"    1",,,"    1",,,,,
