IGRA,LAT,LON,Number,Name,Fir_date,Last_date,Other_Number
EZM00011520,50.0078,14.4469,302.0,PRAHA-LIBUS ,302,2019,65562
EZM00011722,49.08,16.62,195.0,BRNO REBESOVICE ,195,2003,4516
EZM00011747,49.4525,17.1347,214.8,PROSTEJOV ,214,2019,11151
FGM00081401,5.5,-54.033,4.0,SAINT-LAURENT ,4,2001,3207
FGM00081405,4.8222,-52.3653,8.0,CAYENNE MATOURY ,8,2019,27153
FGM00081408,3.883,-51.8,6.0,SAINT GEORGES ,6,2000,2681
FGM00081415,3.633,-54.033,104.0,MARIPASOULA ,104,2004,1329
FIM00002836,67.3667,26.6289,179.0,SODANKYLA ARCTIC RESEARCH CENT ,179,2019,62401
FIM00002935,62.3975,25.6708,139.0,JYVASKYLA AIRPORT ,139,2016,54064
FIM00002963,60.8139,23.4975,104.0,JOKIOINEN OBSERVATORY ,104,2019,59275
FIM00002974,60.3167,24.9667,58.0,HELSINKI/SEUTALA ,58,1956,4544
FIXUAC00035,60.2,24.92,47.0,HELSINKI ,47,1942,1466
FIXUAE05506,64.22,27.73,140.0,KAJAANI ,140,1921,181
FIXUAE05507,63.12,23.08,38.0,KAUHAVA ,38,1935,611
FIXUAE05513,63.32,30.5,115.0,LIEKSA ,115,1935,148
FIXUAE05520,60.57,28.63,25.0,SUUR-MERIJOKI ,25,1935,418
FIXUAE05525,59.78,21.37,16.0,UTO ,16,1935,674
FIXUAE05526,60.88,26.97,128.0,UTTI ,128,1935,630
FJM00091650,-12.5,177.05,26.0,ROTUMA ,26,1980,6835
FJM00091680,-17.75,177.45,13.0,NADI AIRPORT ,13,2019,39359
FKM00088889,-51.82,-58.4481,74.0,MOUNT PLEASANT AIRPORT ,74,2019,21442
FKM00088890,-51.7,-57.8667,51.0,STANLEY ,51,1962,4603
FMM00091317,7.383,143.917,4.0,WOLEAI ATOLL ,4,1979,106
FMM00091334,7.45,151.8333,3.0,TRUK/CAROLINE IS. ,3,2019,44207
FMM00091348,6.95,158.2,38.0,PONAPE/CAROLINE IS. ,38,2019,52000
FMM00091356,5.3333,163.0167,4.0,KUSAIE/CAROLINES ,4,1958,1652
