#YY,MM,DD,WDIR,WSPD,GST,ATMP,DEWP
2015,10,24,232.45833333333334,4.604166666666667,99.0,17.95,999.0
2015,10,25,219.04166666666666,1.9749999999999999,99.0,11.90833333333333,999.0
2015,10,26,129.25,2.583333333333333,99.0,12.495833333333332,999.0
2015,10,27,123.79166666666667,4.979166666666667,99.0,13.179166666666669,999.0
2015,10,28,201.0,5.354166666666667,99.0,12.583333333333334,999.0
2015,10,29,266.375,6.162500000000001,99.0,5.987500000000001,999.0
2015,10,30,264.5,2.158333333333333,99.0,9.183333333333332,999.0
2015,10,31,191.95833333333334,3.620833333333334,99.0,9.462500000000002,999.0
2015,11,1,258.0869565217391,4.695652173913044,99.0,13.082608695652175,999.0
2015,11,2,233.75,3.79,99.0,15.179999999999998,999.0
2015,11,3,208.1818181818182,2.4636363636363634,99.0,19.299999999999997,999.0
2015,11,4,228.2608695652174,2.621739130434783,99.0,16.804347826086953,999.0
2015,11,5,216.33333333333334,3.712499999999999,99.0,19.037499999999998,999.0
2015,11,6,256.5,5.449999999999998,99.0,13.583333333333336,999.0
2015,11,7,277.17391304347825,3.0043478260869567,99.0,8.582608695652173,999.0
2015,11,8,257.1304347826087,2.0565217391304347,99.0,7.5782608695652165,999.0
2015,11,9,171.33333333333334,2.225,99.0,8.366666666666667,999.0
2015,11,10,156.5909090909091,1.8363636363636362,99.0,10.163636363636366,999.0
2015,11,11,195.66666666666666,4.116666666666667,99.0,12.455555555555556,999.0
2015,11,12,240.7391304347826,6.639130434782611,99.0,9.87391304347826,999.0
2015,11,13,283.7826086956522,6.126086956521738,99.0,6.48695652173913,999.0
2015,11,14,247.83333333333334,3.008333333333333,99.0,6.550000000000001,999.0
2015,11,15,237.08333333333334,3.7625000000000006,99.0,13.025000000000004,999.0
2015,11,16,206.47826086956522,3.5565217391304347,99.0,12.304347826086959,999.0
2015,11,17,166.9090909090909,5.172727272727272,99.0,12.222727272727274,999.0
2015,11,18,187.04347826086956,6.32608695652174,99.0,15.869565217391305,999.0
2015,11,19,255.75,5.816666666666667,99.0,8.112499999999999,999.0
2015,11,20,260.0,4.519047619047618,99.0,4.128571428571429,999.0
2015,11,21,128.5,6.133333333333334,99.0,1.7333333333333334,999.0
2015,11,22,263.7916666666667,3.391666666666667,99.0,-4.875000000000001,999.0
2015,11,23,235.41666666666666,4.595833333333333,99.0,0.16250000000000012,999.0
2015,11,24,233.58333333333334,2.8875000000000006,99.0,2.6958333333333333,999.0
2015,11,25,191.54166666666666,4.224999999999999,99.0,7.820833333333333,999.0
2015,11,26,212.79166666666666,5.066666666666666,99.0,13.008333333333333,999.0
2015,11,27,93.0,4.9416666666666655,99.0,8.833333333333334,999.0
2015,11,28,37.458333333333336,7.075000000000002,99.0,4.5,999.0
2015,11,29,71.20833333333333,4.925,99.0,4.4625,999.0
2015,11,30,107.56521739130434,5.37391304347826,99.0,5.534782608695652,999.0
2015,12,1,213.0,4.416666666666666,99.0,6.570833333333334,999.0
2015,12,2,251.66666666666666,3.3249999999999997,99.0,2.9166666666666665,999.0
2015,12,3,279.875,3.4083333333333345,99.0,1.7125000000000001,999.0
2015,12,4,247.95652173913044,4.043478260869565,99.0,3.547826086956522,999.0
2015,12,5,211.69565217391303,2.739130434782609,99.0,2.269565217391304,999.0
2015,12,6,215.41666666666666,2.4625,99.0,4.208333333333333,999.0
2015,12,7,177.33333333333334,1.9916666666666663,99.0,4.533333333333334,999.0
2015,12,8,214.45833333333334,3.9791666666666674,99.0,5.591666666666666,999.0
2015,12,9,235.66666666666666,4.025,99.0,9.45833333333333,999.0
2015,12,10,227.5,5.058333333333333,99.0,10.574999999999998,999.0
2015,12,11,218.79166666666666,3.4374999999999996,99.0,9.279166666666667,999.0
2015,12,12,88.375,1.958333333333333,99.0,9.841666666666667,999.0
2015,12,13,150.2608695652174,3.904347826086957,99.0,13.934782608695652,999.0
2015,12,14,197.5,5.691666666666667,99.0,13.3125,999.0
2015,12,15,203.125,3.5208333333333326,99.0,6.216666666666666,999.0
2015,12,16,182.33333333333334,5.187499999999999,99.0,7.433333333333333,999.0
2015,12,17,278.5416666666667,5.691666666666664,99.0,1.7000000000000008,999.0
