#YY,MM,DD,hh,mm,WDIR,WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,mi,ft
2018,1,6,2,0,323,2.8,99,99,99,99,999,9999,-13.2,999,999,99,99
2018,1,6,3,0,330,2.9,99,99,99,99,999,9999,-13.2,999,999,99,99
2018,1,6,4,0,328,3,99,99,99,99,999,9999,-13.2,999,999,99,99
2018,1,6,5,0,315,2.1,99,99,99,99,999,9999,-13.5,999,999,99,99
2018,1,6,6,0,290,2.9,99,99,99,99,999,9999,-13.8,999,999,99,99
2018,1,6,7,0,295,2.1,99,99,99,99,999,9999,-14.5,999,999,99,99
2018,1,6,8,0,298,2.9,99,99,99,99,999,9999,-14.4,999,999,99,99
2018,1,6,9,0,299,2.7,99,99,99,99,999,9999,-14.6,999,999,99,99
2018,1,6,10,0,293,2.8,99,99,99,99,999,9999,-15,999,999,99,99
2018,1,6,11,0,298,2,99,99,99,99,999,9999,-15.6,999,999,99,99
2018,1,6,12,0,306,2.2,99,99,99,99,999,9999,-15.8,999,999,99,99
2018,1,6,13,0,292,2.4,99,99,99,99,999,9999,-15.2,999,999,99,99
2018,1,6,14,0,300,2.6,99,99,99,99,999,9999,-14,999,999,99,99
2018,1,6,15,0,328,3.1,99,99,99,99,999,9999,-12.5,999,999,99,99
2018,1,6,16,0,344,1.8,99,99,99,99,999,9999,-11,999,999,99,99
2018,1,6,17,0,294,1.8,99,99,99,99,999,9999,-9.8,999,999,99,99
2018,1,6,18,0,345,1.9,99,99,99,99,999,9999,-8.9,999,999,99,99
2018,1,6,19,0,64,1.4,99,99,99,99,999,9999,-8.4,999,999,99,99
2018,1,6,20,0,197,2.6,99,99,99,99,999,9999,-7.8,999,999,99,99
2018,1,6,21,0,180,2.5,99,99,99,99,999,9999,-7.9,999,999,99,99
2018,1,6,22,0,232,1.5,99,99,99,99,999,9999,-8.5,999,999,99,99
2018,1,6,23,0,199,2.8,99,99,99,99,999,9999,-8.8,999,999,99,99
2018,1,7,0,0,221,2.6,99,99,99,99,999,9999,-10,999,999,99,99
2018,1,7,1,0,227,2.5,99,99,99,99,999,9999,-11.6,999,999,99,99
2018,1,7,2,0,210,2.7,99,99,99,99,999,9999,-12.1,999,999,99,99
