DATE,lake_temp
2017-05-06,5.32
2017-05-07,5.39
2017-05-08,5.49
2017-05-09,5.57
2017-05-10,5.81
2017-05-11,6.22
2017-05-12,6.5
2017-05-13,6.61
2017-05-14,6.7
2017-05-15,6.8
2017-05-16,6.99
2017-05-17,7.27
2017-05-18,7.35
2017-05-19,7.22
2017-05-20,7.12
2017-05-21,7.08
2017-05-22,7.08
2017-05-23,7.3
2017-05-24,7.75
2017-05-25,8.08
2017-05-26,8.43
2017-05-27,8.96
2017-05-28,9.17
2017-05-29,9.14
2017-05-30,9.17
2017-05-31,9.38
2017-06-01,9.73
2017-06-02,10.26
2017-06-03,10.75
2017-06-04,11.14
2017-06-05,11.21
2017-06-06,11.29
2017-06-07,11.77
2017-06-08,12.36
2017-06-09,12.82
2017-06-10,13.19
2017-06-11,13.57
2017-06-12,14.14
2017-06-13,14.36
2017-06-14,14.64
2017-06-15,14.91
2017-06-16,15.11
2017-06-17,15.24
2017-06-18,15.24
2017-06-19,15.29
2017-06-20,15.41
2017-06-21,15.62
2017-06-22,15.86
2017-06-23,16.03
2017-06-24,16.02
2017-06-25,15.92
2017-06-26,15.79
2017-06-27,15.77
2017-06-28,15.89
2017-06-29,16.14
2017-06-30,16.46
2017-07-01,16.83
2017-07-02,17.06
2017-07-03,17.47
2017-07-04,17.97
2017-07-05,18.33
2017-07-06,18.55
2017-07-07,18.51
2017-07-08,18.45
2017-07-09,18.57
2017-07-10,18.95
2017-07-11,19.35
2017-07-12,19.5
2017-07-13,19.48
2017-07-14,19.45
2017-07-15,19.48
2017-07-16,19.49
2017-07-17,19.66
2017-07-18,19.98
2017-07-19,20.19
2017-07-20,20.43
2017-07-21,20.66
2017-07-22,20.8
2017-07-23,20.82
2017-07-24,20.62
2017-07-25,20.58
2017-07-26,20.65
2017-07-27,20.69
2017-07-28,20.75
2017-07-29,20.85
2017-07-30,21.03
2017-07-31,21.34
2017-08-01,21.54
2017-08-02,21.48
2017-08-03,21.17
2017-08-04,20.64
2017-08-05,20.25
2017-08-06,20.24
2017-08-07,20.27
2017-08-08,20.28
2017-08-09,20.34
2017-08-10,20.43
2017-08-11,20.49
2017-08-12,20.54
2017-08-13,20.56
2017-08-14,20.67
2017-08-15,20.79
2017-08-16,21.01
2017-08-17,21.04
2017-08-18,20.97
2017-08-19,21.04
2017-08-20,21.04
2017-08-21,20.97
2017-08-22,20.83
2017-08-23,20.7
2017-08-24,20.56
2017-08-25,20.5
2017-08-26,20.47
2017-08-27,20.39
2017-08-28,20.3
2017-08-29,20.29
2017-08-30,20.27
2017-08-31,20.09
2017-09-01,19.89
2017-09-02,19.77
2017-09-03,19.67
2017-09-04,19.53
2017-09-05,19.29
2017-09-06,19.06
2017-09-07,18.85
2017-09-08,18.68
2017-09-09,18.59
2017-09-10,18.55
2017-09-11,18.58
2017-09-12,18.74
2017-09-13,18.94
2017-09-14,19.08
2017-09-15,19.25
2017-09-16,19.41
2017-09-17,19.48
2017-09-18,19.51
2017-09-19,19.63
2017-09-20,19.81
2017-09-21,20.38
2017-09-22,21.0
2017-09-23,21.3
2017-09-24,21.42
2017-09-25,21.34
2017-09-26,21.11
2017-09-27,20.62
2017-09-28,20.0
2017-09-29,19.58
2017-09-30,19.27
2017-10-01,19.12
2017-10-02,18.98
2017-10-03,18.78
2017-10-04,18.59
2017-10-05,18.42
2017-10-06,18.21
2017-10-07,17.94
2017-10-08,17.73
2017-10-09,17.55
2017-10-10,17.47
2017-10-11,17.32
2017-10-12,17.05
2017-10-13,16.7
2017-10-14,16.37
2017-10-15,16.03
2017-10-16,15.87
2017-10-17,15.66
2017-10-18,15.49
2017-10-19,15.34
2017-10-20,15.18
2017-10-21,15.16
2017-10-22,15.12
2017-10-23,14.9
2017-10-24,14.49
2017-10-25,14.03
2017-10-26,13.85
2017-10-27,13.75
2017-10-28,13.46
2017-10-29,12.94
2017-10-30,12.73
2017-10-31,12.46
2017-11-01,11.88
2017-11-02,11.62
2017-11-03,11.39
2017-11-04,11.15
2017-11-05,10.89
2017-11-06,10.82
2017-11-07,10.75
2017-11-08,10.71
2017-11-09,10.62
2017-11-10,10.44
2017-11-11,10.28
2017-11-12,10.05
2017-11-13,9.82
2017-11-14,9.55
2017-11-15,9.29
2017-11-16,8.97
2017-11-17,8.6
2017-11-18,8.18
2017-11-19,8.07
