DATE,lake_temp
2014-05-30,7.8
2014-05-31,8.16
2014-06-01,8.23
2014-06-02,7.99
2014-06-03,7.68
2014-06-04,7.59
2014-06-05,7.64
2014-06-06,7.93
2014-06-07,8.05
2014-06-08,7.91
2014-06-09,7.86
2014-06-10,7.88
2014-06-11,7.89
2014-06-12,7.87
2014-06-13,8.31
2014-06-14,8.59
2014-06-15,9.19
2014-06-16,9.76
2014-06-17,10.09
2014-06-18,10.27
2014-06-19,10.65
2014-06-20,11.15
2014-06-21,11.45
2014-06-22,11.81
2014-06-23,12.2
2014-06-24,12.83
2014-06-25,13.12
2014-06-26,13.24
2014-06-27,13.66
2014-06-28,14.03
2014-06-29,13.93
2014-06-30,13.65
2014-07-01,13.32
2014-07-02,13.35
2014-07-03,13.55
2014-07-04,13.89
2014-07-05,14.13
2014-07-06,14.41
2014-07-07,14.77
2014-07-08,14.88
2014-07-09,15.08
2014-07-10,15.46
2014-07-11,15.72
2014-07-12,15.95
2014-07-13,16.12
2014-07-14,16.23
2014-07-15,16.24
2014-07-16,16.26
2014-07-17,16.41
2014-07-18,16.63
2014-07-19,17.01
2014-07-20,17.34
2014-07-21,17.56
2014-07-22,17.4
2014-07-23,16.96
2014-07-24,16.85
2014-07-25,16.81
2014-07-26,16.66
2014-07-27,16.42
2014-07-28,15.96
2014-07-29,15.96
2014-07-30,16.34
2014-07-31,16.76
2014-08-01,17.27
2014-08-02,17.82
2014-08-03,18.22
2014-08-04,18.45
2014-08-05,18.74
2014-08-06,18.99
2014-08-07,19.26
2014-08-08,19.56
2014-08-09,19.61
2014-08-10,19.47
2014-08-11,18.96
2014-08-12,18.2
2014-08-13,17.75
2014-08-14,17.63
2014-08-15,17.74
2014-08-16,17.82
2014-08-17,17.9
2014-08-18,18.14
2014-08-19,18.45
2014-08-20,18.73
2014-08-21,18.99
2014-08-22,19.35
2014-08-23,19.62
2014-08-24,19.79
2014-08-25,19.85
2014-08-26,19.74
2014-08-27,19.68
2014-08-28,19.65
2014-08-29,19.68
2014-08-30,19.71
2014-08-31,19.75
2014-09-01,19.8
2014-09-02,19.88
2014-09-03,19.93
2014-09-04,19.89
2014-09-05,19.75
2014-09-06,19.6
2014-09-07,19.61
2014-09-08,19.56
2014-09-09,19.45
2014-09-10,19.19
2014-09-11,18.59
2014-09-12,17.82
2014-09-13,17.09
2014-09-14,16.67
2014-09-15,16.47
2014-09-16,16.42
2014-09-17,16.38
2014-09-18,16.24
2014-09-19,16.14
2014-09-20,16.04
2014-09-21,15.87
2014-09-22,15.7
2014-09-23,15.53
2014-09-24,15.76
2014-09-25,16.21
2014-09-26,16.5
2014-09-27,16.69
2014-09-28,16.86
2014-09-29,16.87
2014-09-30,16.64
2014-10-01,16.22
2014-10-02,15.71
2014-10-03,15.14
2014-10-04,14.53
2014-10-05,14.04
2014-10-06,13.7
2014-10-07,13.54
2014-10-08,13.38
2014-10-09,13.13
2014-10-10,13.07
2014-10-11,13.1
2014-10-12,13.12
2014-10-13,13.1
2014-10-14,13.03
2014-10-15,12.9
2014-10-16,12.69
2014-10-17,12.46
2014-10-18,12.23
2014-10-19,12.02
2014-10-20,11.91
2014-10-21,11.86
2014-10-22,11.79
2014-10-23,11.74
2014-10-24,11.78
2014-10-25,11.83
2014-10-26,11.77
2014-10-27,11.68
2014-10-28,11.54
2014-10-29,11.37
2014-10-30,10.98
2014-10-31,10.29
2014-11-01,9.54
2014-11-02,9.18
2014-11-03,9.16
2014-11-04,9.24
2014-11-05,9.1
2014-11-06,8.84
2014-11-07,8.67
2014-11-08,8.37
2014-11-09,8.31
2014-11-10,8.25
2014-11-11,8.17
2014-11-12,7.92
2014-11-13,7.63
2014-11-14,7.43
2014-11-15,6.88
2014-11-16,6.66
2014-11-17,6.49
2014-11-18,6.29
2014-11-19,6.11
2014-11-20,5.54
2014-11-21,5.76
2014-11-22,5.75
2014-11-23,5.67
2014-11-24,5.54
2014-11-25,5.35
2014-11-26,5.27
