DATE,garden_prcp,garden_maxtmp,garden_mintmp,garden_tobs,lake_temp,ohare_wspd,ohare_prcp,ohare_snfall,ohare_sndpth,ohare_atmp,ohare_maxtmp,ohare_mintmp,ohare_w2dir,ohare_w2spd
2013-09-20,0.61,79.0,67.0,70.0,18.29,10.96,0.0,0.0,0.0,73.0,76,58,290,21.0
2013-09-21,0.0,77.0,52.0,54.0,18.06,10.07,0.0,0.0,0.0,60.0,67,52,350,18.1
2013-09-22,0.01,66.0,46.0,49.0,17.86,7.61,0.0,0.0,0.0,57.0,67,49,50,14.1
2013-09-23,0.0,67.0,48.0,56.0,17.78,6.04,0.0,0.0,0.0,58.0,67,46,100,13.0
2013-09-24,0.0,65.0,47.0,54.0,17.77,8.05,0.0,0.0,0.0,60.0,70,49,90,16.1
2013-09-25,0.0,70.0,49.0,54.0,17.85,5.82,0.0,0.0,0.0,62.0,70,51,40,13.0
2013-09-26,0.0,70.0,49.0,54.0,17.91,4.25,0.0,0.0,0.0,63.0,75,50,100,13.0
2013-09-27,0.0,73.0,48.0,55.0,17.92,7.38,0.0,0.0,0.0,66.0,81,52,100,16.1
2013-09-28,0.0,78.0,52.0,60.0,17.8,12.75,0.2,0.0,0.0,68.0,84,55,200,25.1
2013-09-29,0.42,82.0,52.0,54.0,17.69,7.61,0.18,0.0,0.0,65.0,68,51,360,19.9
2013-09-30,0.0,66.0,44.0,49.0,17.66,6.26,0.0,0.0,0.0,60.0,74,47,210,13.0
2013-10-01,0.0,74.0,47.0,65.0,17.67,12.3,0.0,0.0,0.0,67.0,79,62,220,21.9
2013-10-02,0.0,77.0,54.0,56.0,17.71,6.49,0.0,0.0,0.0,70.0,76,62,100,13.0
2013-10-03,0.03,74.0,50.0,68.0,17.67,7.83,0.12,0.0,0.0,68.0,78,60,180,19.9
2013-10-04,0.06,77.0,65.0,68.0,17.52,6.26,0.0,0.0,0.0,69.0,74,65,70,13.0
2013-10-05,0.01,74.0,60.0,68.0,17.3,6.49,0.82,0.0,0.0,69.0,80,61,200,25.9
2013-10-06,0.91,80.0,52.0,54.0,17.04,9.62,0.09,0.0,0.0,60.0,64,45,250,19.9
2013-10-07,0.0,64.0,43.0,49.0,16.84,8.95,0.0,0.0,0.0,53.0,68,45,310,17.0
2013-10-08,0.0,66.0,43.0,46.0,16.8,5.59,0.0,0.0,0.0,58.0,75,43,200,12.1
2013-10-09,0.0,74.0,45.0,48.0,16.78,4.7,0.0,0.0,0.0,60.0,71,48,100,14.1
2013-10-10,0.0,70.0,44.0,48.0,16.71,3.8,0.0,0.0,0.0,61.0,74,46,120,13.0
2013-10-11,0.0,74.0,47.0,53.0,16.59,7.61,0.0,0.0,0.0,64.0,76,51,120,18.1
2013-10-12,0.0,75.0,52.0,62.0,16.46,7.38,0.12,0.0,0.0,62.0,73,46,190,16.1
2013-10-13,0.02,74.0,40.0,44.0,16.3,6.71,0.0,0.0,0.0,55.0,64,44,340,16.1
2013-10-14,0.0,63.0,40.0,53.0,16.19,8.5,0.0,0.0,0.0,54.0,62,42,100,17.0
2013-10-15,0.0,64.0,49.0,56.0,16.06,10.51,0.07,0.0,0.0,57.0,64,49,280,18.1
2013-10-16,0.12,64.0,44.0,49.0,15.86,10.74,0.0,0.0,0.0,52.0,54,47,260,18.1
2013-10-17,0.1,55.0,48.0,49.0,15.57,6.93,0.29,0.0,0.0,50.0,53,40,280,16.1
2013-10-18,0.29,52.0,37.0,40.0,15.23,8.72,0.0,0.0,0.0,45.0,50,39,270,19.9
2013-10-19,0.01,51.0,39.0,42.0,14.95,9.17,0.01,0.0,0.0,47.0,54,42,250,23.9
2013-10-20,0.04,56.0,35.0,38.0,14.65,6.04,0.01,0.0,0.0,47.0,61,36,270,18.1
2013-10-21,0.04,60.0,37.0,42.0,14.24,11.41,0.0,0.0,0.0,50.0,55,33,270,21.9
2013-10-22,0.0,50.0,27.0,33.0,13.82,6.04,0.0,0.0,0.0,36.0,42,29,220,14.1
2013-10-23,0.0,44.0,30.0,32.0,13.31,10.07,0.0,0.0,0.0,38.0,46,32,270,19.9
2013-10-24,0.0,46.0,32.0,35.0,12.76,10.96,0.0,0.0,0.0,39.0,44,31,330,21.0
2013-10-25,0.0,45.0,26.0,30.0,12.28,11.63,0.0,0.0,0.0,38.0,51,29,230,25.9
2013-10-26,0.0,51.0,30.0,45.0,11.99,14.32,0.0,0.0,0.0,47.0,55,37,320,23.0
2013-10-27,0.0,56.0,28.0,30.0,11.64,6.71,0.0,0.0,0.0,42.0,54,29,230,18.1
2013-10-28,0.0,55.0,29.0,46.0,11.45,9.4,0.0,0.0,0.0,45.0,53,35,50,19.9
2013-10-29,0.0,55.0,42.0,47.0,11.35,7.61,0.0,0.0,0.0,47.0,57,42,100,14.1
2013-10-30,0.0,53.0,40.0,44.0,11.18,7.61,0.55,0.0,0.0,52.0,63,43,200,16.1
2013-10-31,0.55,62.0,44.0,61.0,11.1,11.41,1.04,0.0,0.0,61.0,64,46,270,25.1
2013-11-01,0.65,63.0,42.0,45.0,10.94,11.41,0.08,0.0,0.0,47.0,48,43,270,28.0
2013-11-02,0.08,49.0,37.0,39.0,10.81,7.61,0.01,0.0,0.0,44.0,48,38,360,14.1
2013-11-03,0.03,46.0,30.0,39.0,10.7,7.38,0.0,0.0,0.0,42.0,53,33,140,17.0
2013-11-04,0.0,53.0,38.0,47.0,10.45,14.09,0.0,0.0,0.0,48.0,58,42,190,23.0
2013-11-05,0.0,58.0,45.0,53.0,10.23,10.74,0.04,0.0,0.0,53.0,55,50,190,25.9
2013-11-06,0.55,57.0,52.0,57.0,10.02,14.32,0.6,0.0,0.0,52.0,57,35,290,23.9
2013-11-07,0.0,57.0,29.0,36.0,9.83,9.17,0.0,0.0,0.0,38.0,44,30,290,18.1
2013-11-08,0.0,45.0,26.0,31.0,9.62,9.4,0.0,0.0,0.0,37.0,48,28,190,23.0
2013-11-09,0.0,49.0,31.0,48.0,9.33,18.34,0.0,0.0,0.0,49.0,58,41,300,28.0
2013-11-10,0.0,58.0,35.0,39.0,9.01,9.62,0.0,0.0,0.0,43.0,49,35,280,19.9
2013-11-11,0.0,50.0,38.0,47.0,8.71,12.75,0.29,0.4,0.0,42.0,47,25,10,23.0
2013-11-12,0.15,47.0,22.0,28.0,8.45,10.96,0.0,0.0,0.0,27.0,33,22,340,19.9
2013-11-13,0.0,34.0,19.0,26.0,8.32,14.32,0.0,0.0,0.0,28.0,40,20,210,23.9
2013-11-14,0.0,42.0,25.0,37.0,8.2,14.54,0.0,0.0,0.0,38.0,49,32,210,23.0
2013-11-15,0.0,50.0,37.0,40.0,8.12,10.29,0.01,0.0,0.0,44.0,50,38,210,19.9
2013-11-16,0.07,53.0,39.0,47.0,8.08,17.0,0.4,0.0,0.0,47.0,61,42,170,30.0
2013-11-17,0.42,64.0,47.0,64.0,7.97,21.47,0.39,0.0,0.0,60.0,69,43,250,42.9
2013-11-18,0.6,69.0,35.0,37.0,7.77,14.99,0.0,0.0,0.0,41.0,43,30,300,25.9
2013-11-19,0.0,43.0,23.0,30.0,7.58,5.82,0.0,0.0,0.0,33.0,42,25,330,13.0
2013-11-20,0.0,41.0,28.0,37.0,7.5,10.51,0.15,0.0,0.0,36.0,45,28,170,19.9
2013-11-21,0.13,46.0,37.0,45.0,7.42,4.92,0.05,0.0,0.0,44.0,51,41,210,10.1
2013-11-22,0.09,51.0,36.0,45.0,7.33,9.17,0.04,0.0,0.0,40.0,43,27,350,19.9
2013-11-23,0.0,46.0,22.0,22.0,7.2,14.76,0.0,0.0,0.0,25.0,26,15,340,25.9
2013-11-24,0.0,25.0,11.0,14.0,6.95,9.62,0.0,0.0,0.0,18.0,27,11,220,21.0
2013-11-25,0.0,28.0,13.0,28.0,6.81,12.53,0.03,0.5,0.0,26.0,31,22,220,21.9
