DATE,WDIR,WSPD,ATMP
2015-04-03,275.25,9.358333333333334,9.175
2015-04-04,264.2083333333333,8.212499999999999,5.675
2015-04-05,227.65217391304347,8.71304347826087,11.956521739130435
2015-04-06,229.80952380952382,6.899999999999999,5.623809523809523
2015-04-07,158.82608695652175,12.613043478260868,3.752173913043478
2015-04-08,94.375,8.454166666666667,4.816666666666666
2015-04-09,165.17391304347825,8.986956521739131,9.556521739130432
2015-04-10,247.23809523809524,12.628571428571426,12.290476190476193
2015-04-11,246.22727272727272,6.295454545454546,9.595454545454547
2015-04-12,172.38888888888889,8.5,14.388888888888891
2015-04-13,230.20833333333331,10.333333333333332,16.345833333333335
2015-04-14,197.95454545454547,4.8,11.96818181818182
2015-04-15,101.65217391304348,5.991304347826088,7.782608695652174
2015-04-16,66.08333333333333,5.958333333333332,7.337499999999999
