#YY,MM,DD,hh,mm,WDIR,WSPD,ATMP
2015,1,12,2,0,222,5.8,-1.8
2015,1,12,3,0,198,8.3,-1.7
2015,1,12,4,0,257,3.0,-1.6
2015,1,12,5,0,257,3.6,-1.6
2015,1,12,6,0,310,3.7,-1.5
2015,1,12,7,0,299,4.8,-1.6
2015,1,12,8,0,352,13.2,-1.7
2015,1,12,9,0,314,12.0,-2.9
2015,1,12,10,0,305,6.9,-3.7
2015,1,12,11,0,324,3.7,-4.4
2015,1,12,12,0,325,16.4,-5.1
2015,1,12,13,0,327,13.3,-5.4
2015,1,12,14,0,329,12.0,-5.8
2015,1,12,15,0,345,19.6,-6.6
2015,1,12,17,0,336,16.5,-7.9
2015,1,12,18,0,349,18.4,-6.7
2015,1,12,19,0,344,14.8,-6.4
2015,1,12,20,0,346,14.9,-6.2
2015,1,12,21,0,354,24.0,-5.7
2015,1,12,22,0,326,15.5,-6.8
2015,1,12,23,0,328,15.5,-6.8
2015,1,13,0,0,296,7.6,-6.8
2015,1,13,1,0,339,14.2,-7.0
2015,1,13,2,0,325,10.1,-7.4
2015,1,13,3,0,38,23.6,-4.7
2015,1,13,4,0,37,16.2,-5.6
2015,1,13,5,0,32,16.1,-6.0
2015,1,13,6,0,52,13.2,-6.3
2015,1,13,7,0,22,13.3,-6.8
2015,1,13,8,0,44,13.3,-7.5
2015,1,13,9,0,43,13.2,-7.5
2015,1,13,10,0,60,11.7,-8.3
2015,1,13,11,0,81,8.5,-8.6
2015,1,13,12,0,94,11.5,-8.8
2015,1,13,13,0,84,7.4,-8.9
2015,1,13,14,0,99,5.7,-9.0
2015,1,13,15,0,90,7.1,-8.9
2015,1,13,16,0,89,7.4,-9.1
2015,1,13,17,0,94,7.5,-8.5
2015,1,13,18,0,92,7.3,-8.2
2015,1,13,19,0,81,7.2,-8.6
2015,1,13,20,0,81,3.4,-8.3
2015,1,13,22,0,37,1.7,-8.4
2015,1,13,23,0,269,1.0,-8.5
2015,1,14,0,0,155,1.3,-8.3
2015,1,14,1,0,142,3.3,-8.4
2015,1,14,2,0,139,3.6,-8.0
2015,1,14,3,0,164,4.7,-7.8
2015,1,14,4,0,223,5.8,-8.9
2015,1,14,5,0,211,7.0,-9.4
2015,1,14,6,0,235,3.0,-10.0
2015,1,14,7,0,228,3.0,-10.6
2015,1,14,8,0,216,5.9,-11.4
2015,1,14,9,0,283,3.3,-11.7
2015,1,14,10,0,263,5.4,-11.8
2015,1,14,11,0,263,3.8,-11.9
2015,1,14,12,0,216,4.4,-12.3
2015,1,14,13,0,202,1.0,-11.6
2015,1,14,14,0,248,3.4,-10.8
2015,1,14,15,0,249,7.2,-10.4
2015,1,14,16,0,232,8.4,-9.8
