#YY,MM,DD,WDIR,WSPD,ATMP
2015,5,8,199.95652173913044,7.604347826086956,22.09565217391304
2015,5,9,226.0952380952381,8.861904761904762,10.942857142857141
2015,5,10,328.95454545454544,11.645454545454545,6.586363636363637
2015,5,11,214.91304347826087,7.304347826086956,13.717391304347826
2015,5,12,266.625,10.779166666666669,11.554166666666665
2015,5,13,137.29166666666666,9.4,7.104166666666667
2015,5,14,121.08695652173913,7.85217391304348,9.326086956521738
2015,5,15,197.375,6.770833333333331,57.5625
2015,5,16,159.8235294117647,4.252941176470588,17.082352941176474
2015,5,17,171.69230769230768,12.153846153846153,21.50769230769231
2015,5,18,224.04166666666666,11.129166666666665,23.112499999999997
2015,5,19,220.58333333333334,7.454166666666666,9.279166666666667
2015,5,20,127.75,7.8374999999999995,5.729166666666667
2015,5,21,259.6818181818182,5.554545454545456,11.536363636363639
2015,5,22,167.58333333333334,5.916666666666665,11.1875
2015,5,23,138.33333333333334,4.886666666666668,14.226666666666665
2015,5,24,145.73684210526315,3.657894736842106,15.984210526315788
2015,5,25,203.27272727272728,11.663636363636362,22.536363636363635
2015,5,26,188.47826086956522,9.126086956521739,21.17826086956522
2015,5,27,219.375,7.983333333333334,20.6625
2015,5,28,152.58333333333334,4.329166666666668,17.825
2015,5,29,165.82608695652175,5.92608695652174,20.682608695652174
2015,5,30,257.7916666666667,9.966666666666667,16.97083333333333
2015,5,31,200.7826086956522,15.26086956521739,7.25217391304348
2015,6,1,112.625,7.529166666666669,8.266666666666667
2015,6,2,94.45833333333333,3.912500000000001,10.383333333333333
2015,6,3,128.08695652173913,3.595652173913043,13.456521739130432
2015,6,4,181.08333333333334,6.1625000000000005,18.929166666666667
2015,6,5,287.0952380952381,7.504761904761905,14.466666666666667
2015,6,6,254.9090909090909,6.518181818181817,10.827272727272726
2015,6,7,157.79166666666666,6.720833333333332,17.79166666666667
2015,6,8,246.875,5.666666666666667,22.42916666666667
2015,6,9,239.27272727272728,5.195454545454544,20.713636363636365
2015,6,10,184.08333333333334,7.141666666666668,25.46666666666667
2015,6,11,128.14285714285714,4.2,15.657142857142855
2015,6,12,171.47826086956522,5.004347826086957,14.008695652173914
2015,6,13,206.54166666666666,5.733333333333334,13.699999999999998
2015,6,14,224.93333333333334,3.953333333333334,23.52
2015,6,15,195.47826086956522,4.4,22.51739130434783
2015,6,16,223.0,6.816666666666666,16.033333333333335
2015,6,17,161.83333333333334,3.345833333333333,13.7125
2015,6,18,218.43478260869566,5.426086956521738,21.13478260869565
2015,6,19,243.34782608695653,9.173913043478262,12.465217391304348
2015,6,20,193.125,5.270833333333332,15.320833333333335
2015,6,21,255.28571428571428,4.2857142857142865,20.878571428571426
2015,6,22,206.45833333333334,5.6333333333333355,25.14999999999999
2015,6,23,228.375,5.529166666666666,21.541666666666668
2015,6,24,157.5,3.625,19.958333333333332
2015,6,25,169.8181818181818,3.522727272727272,19.83181818181818
2015,6,26,236.58333333333334,7.416666666666667,15.487499999999999
2015,6,27,287.25,7.300000000000001,15.545833333333334
2015,6,28,213.875,3.5666666666666678,17.97083333333334
2015,6,29,142.0,2.5380952380952375,18.633333333333333
2015,6,30,137.76190476190476,4.1952380952380945,18.723809523809525
2015,7,1,90.52173913043478,5.778260869565218,13.891304347826088
2015,7,2,90.21739130434783,8.27391304347826,13.665217391304346
2015,7,3,82.625,4.058333333333333,16.674999999999997
2015,7,4,165.7391304347826,2.8521739130434787,19.143478260869568
2015,7,5,165.42857142857142,3.9047619047619047,21.266666666666666
2015,7,6,175.75,6.5375000000000005,24.016666666666662
2015,7,7,186.13636363636363,9.340909090909092,18.218181818181815
2015,7,8,61.0,5.529166666666668,14.862499999999999
2015,7,9,167.63636363636363,5.918181818181819,15.795454545454549
2015,7,10,153.9090909090909,3.5090909090909093,18.890909090909094
2015,7,11,144.93333333333334,4.4,20.133333333333336
2015,7,12,93.22222222222223,1.9666666666666666,19.566666666666666
2015,7,13,132.0,7.3999999999999995,20.26666666666667
2015,7,14,300.0,4.7,23.4
2015,7,15,169.5,7.0,15.4
2015,7,16,165.0,2.25,17.35
2015,7,17,247.71428571428572,4.807142857142857,29.42142857142857
2015,7,18,175.52173913043478,5.252173913043479,24.543478260869566
2015,7,19,153.63636363636363,3.3681818181818186,24.60454545454546
2015,7,20,240.77272727272728,4.050000000000001,24.472727272727276
2015,7,21,201.66666666666666,5.612499999999998,22.058333333333337
2015,7,22,162.91304347826087,3.1999999999999997,21.58695652173913
2015,7,23,150.5,2.4625,22.650000000000002
2015,7,24,192.08695652173913,5.3304347826086955,25.456521739130434
2015,7,25,183.83333333333334,5.304166666666666,25.416666666666668
2015,7,26,174.52380952380952,1.961904761904762,22.06666666666667
2015,7,27,162.95454545454547,2.6999999999999997,23.340909090909086
2015,7,28,136.65217391304347,2.7347826086956526,24.35217391304348
2015,7,29,226.5,4.69375,26.700000000000003
2015,7,30,285.35714285714283,6.9142857142857155,27.142857142857142
2015,7,31,279.04347826086956,6.186956521739131,26.30434782608695
2015,8,1,275.0,5.671428571428573,25.33809523809524
2015,8,2,242.16666666666666,6.820833333333334,27.512500000000003
2015,8,3,266.30434782608694,7.369565217391303,23.773913043478252
2015,8,4,264.8695652173913,4.743478260869565,23.59130434782609
2015,8,5,150.58333333333334,2.8083333333333336,22.25833333333333
2015,8,6,59.083333333333336,4.716666666666667,22.024999999999995
2015,8,7,140.8181818181818,5.5590909090909095,22.177272727272733
2015,8,8,180.91666666666666,4.995833333333334,23.420833333333334
2015,8,9,185.125,3.016666666666667,21.34583333333333
2015,8,10,193.1304347826087,4.0782608695652165,22.460869565217394
2015,8,11,132.29166666666666,5.2875,21.950000000000006
